,Open,High,Low,Close,Volume
2008-01-14,21.01,21.01,21.01,21.01,9342608
2008-01-15,20.02,20.02,20.02,20.02,16573705.5
2008-01-16,20.55,20.55,20.55,20.55,12435995
2008-01-17,20.92,20.92,20.92,20.92,13240427.2
2008-01-18,21.1,21.1,21.1,21.1,0
2008-01-21,21.41,21.41,21.41,21.41,11063081.7
2008-01-22,21.45,21.45,21.45,21.45,12003504.7
2008-01-23,21.01,21.01,21.01,21.01,17802731.1
2008-01-24,21.36,21.36,21.36,21.36,11867636
2008-01-25,21.01,21.01,21.01,21.01,6942419
2008-01-28,20.56,20.56,20.56,20.56,9082503.1
2008-01-29,21.01,21.01,21.01,21.01,6019123
2008-01-30,21.24,21.24,21.24,21.24,8155313.1
2008-01-31,21.44,21.44,21.44,21.44,23261076.3
2008-02-01,20.56,20.56,20.56,20.56,15655445.3
2008-02-04,21.26,21.26,21.26,21.26,3357687.3
2008-02-05,21.45,21.45,21.45,21.45,21335389.9
2008-02-06,0,0,0,22.35,19278048.9
2008-02-07,22.26,22.26,22.26,22.26,20240859.1
2008-02-08,21.81,21.81,21.81,21.81,16448094.3
2008-02-11,21.44,21.44,21.44,21.44,11864630.8
2008-02-12,20.56,20.56,20.56,20.56,13569058.8
2008-02-13,21.18,21.18,21.18,21.18,7946142.6
2008-02-14,20.56,20.56,20.56,20.56,16692441.7
2008-02-15,0,0,0,21.4,27112525
2008-02-18,21.01,21.01,21.01,21.01,7200344.8
2008-02-19,21.27,21.27,21.27,21.27,18084218.9
2008-02-20,21.5,21.5,21.5,21.5,10399241.6
2008-02-21,22.14,22.14,22.14,22.14,12502722.1
2008-02-22,22.17,22.17,22.17,22.17,10765659.3
2008-02-25,0,0,0,21.94,9105327
2008-02-26,22.05,22.05,22.05,22.05,7142477.1
2008-02-27,22.35,22.35,22.35,22.35,39992482.2
2008-02-28,22.38,22.38,22.38,22.38,30713888.7
2008-02-29,0,0,0,22.34,6004114.6
2008-03-03,21.72,21.72,21.72,21.72,4711566.2
2008-03-04,22.33,22.33,22.33,22.33,4169941.6
2008-03-05,21.99,21.99,21.99,21.99,9754578.9
2008-03-06,21.85,21.85,21.85,21.85,4347499.2
2008-03-07,21.99,21.99,21.99,21.99,8383878.8
2008-03-10,21.27,21.27,21.27,21.27,4492350.5
2008-03-11,21.59,21.59,21.59,21.59,8177574.9
2008-03-12,21.68,21.68,21.68,21.68,4589493.7
2008-03-13,22.12,22.12,22.12,22.12,9951167.6
2008-03-14,22.17,22.17,22.17,22.17,5195403.4
2008-03-17,21.27,21.27,21.27,21.27,0
2008-03-18,20.57,20.57,20.57,20.57,5979088.5
2008-03-20,19.54,19.54,19.54,19.54,12774675.1
2008-03-25,19.98,19.98,19.98,19.98,10389128.2
2008-03-26,20.87,20.87,20.87,20.87,0
2008-03-27,21.36,21.36,21.36,21.36,5403656.5
2008-03-28,21.68,21.68,21.68,21.68,0
2008-03-31,21.46,21.46,21.46,21.46,3433355.2
