,Open,High,Low,Close,Volume
2009-05-11,9.4,9.4,9.4,9.4,58542.75
2009-05-12,9.87,9.87,9.87,9.87,4984026.75
2009-05-13,0,0,0,10.36,2975626.12
2009-05-14,10.06,10.06,10.06,10.06,2738418.75
2009-05-15,10.05,10.05,10.05,10.05,2978253
2009-05-18,10.55,10.55,10.55,10.55,1018381.5
2009-05-19,11.08,11.08,11.08,11.08,360960.75
2009-05-20,11.63,11.63,11.63,11.63,351065.25
2009-05-21,12.2,12.2,12.2,12.2,808438.5
2009-05-22,12.81,12.81,12.81,12.81,1078536.38
2009-05-25,13.45,13.45,13.45,13.45,417823.88
2009-05-26,14.12,14.12,14.12,14.12,505184.62
2009-05-27,14.82,14.82,14.82,14.82,214636.5
2009-05-28,15.56,15.56,15.56,15.56,631976.62
2009-06-01,16.33,16.33,16.33,16.33,0
2009-06-02,15.52,15.52,15.52,15.52,8228769.75
2009-06-03,14.75,14.75,14.75,14.75,455785.88
2009-06-04,14.02,14.02,14.02,14.02,432239.62
2009-06-05,13.32,13.32,13.32,13.32,288283.5
2009-06-08,12.67,12.67,12.67,12.67,599184
2009-06-09,12.04,12.04,12.04,12.04,821490.75
2009-06-10,11.82,11.82,11.82,11.82,5233737.38
2009-06-11,12.41,12.41,12.41,12.41,937285.88
2009-06-12,13.02,13.02,13.02,13.02,2403892.12
2009-06-15,13.33,13.33,13.33,13.33,2546475.75
2009-06-16,13.95,13.95,13.95,13.95,2599770.38
2009-06-17,13.78,13.78,13.78,13.78,789808.5
2009-06-18,13.33,13.33,13.33,13.33,1319413.5
2009-06-19,13.46,13.46,13.46,13.46,6918999.75
2009-06-22,13.32,13.32,13.32,13.32,258280.88
2009-06-23,13.16,13.16,13.16,13.16,1812647.25
2009-06-24,12.5,12.5,12.5,12.5,210526.88
2009-06-25,11.88,11.88,11.88,11.88,136711.12
2009-06-26,11.29,11.29,11.29,11.29,1357339.5
2009-06-29,11.85,11.85,11.85,11.85,630995.62
2009-06-30,12.44,12.44,12.44,12.44,185693.62
2009-07-01,13.05,13.05,13.05,13.05,3035341.12
2009-07-02,13.32,13.32,13.32,13.32,1494040.5
2009-07-03,13.31,13.31,13.31,13.31,589071.38
2009-07-06,12.89,13.31,12.89,12.89,704529
2009-07-07,12.44,12.44,12.44,12.44,335153.25
2009-07-08,12.44,12.44,12.44,12.44,249689.25
2009-07-09,11.91,11.91,11.91,11.91,966936.38
2009-07-10,11.92,11.92,11.92,11.92,1068196.5
2009-07-13,11.93,11.93,11.93,11.93,94556.25
2009-07-14,11.08,11.08,11.08,11.08,1399897.12
2009-07-15,10.52,10.52,10.52,10.52,363397.5
2009-07-16,10,10,10,10,1221831
2009-07-17,9.5,9.5,9.5,9.5,585421.88
2009-07-20,9.03,9.03,9.03,9.03,66892.5
2009-07-21,8.59,8.59,8.59,8.59,518940
2009-07-22,8.76,8.76,8.76,8.76,1679083.88
2009-07-23,9.19,9.19,9.19,9.19,167581.12
2009-07-24,9.64,9.64,9.64,9.64,158083.88
2009-07-27,10.12,10.12,10.12,10.12,1688805
2009-07-28,10.62,10.62,10.62,10.62,1379200.5
2009-07-29,10.62,11.15,10.62,11.14,1601244
2009-07-30,11.14,11.69,10.85,11.64,1870072.88
2009-07-31,12.18,12.18,12.18,12.18,1008928.12
2009-08-03,12.78,12.78,12.78,12.78,400090.5
2009-08-04,13.41,13.41,13.41,13.41,279473.62
2009-08-05,13.24,13.24,13.24,13.24,2569519.12
2009-08-06,13.33,13.33,13.33,13.33,6722402.62
2009-08-07,13.33,13.33,13.33,13.33,627350.62
2009-08-10,13.38,13.38,13.38,13.38,1334007
2009-08-11,12.76,12.76,12.76,12.76,2232084.38
2009-08-12,13.29,13.29,13.29,13.29,1341255.38
2009-08-13,12.67,12.67,12.67,12.67,1132759.12
2009-08-14,12.44,12.44,12.44,12.44,1499208.75
2009-08-17,11.82,11.82,11.82,11.82,123574.5
2009-08-18,11.57,11.57,11.57,11.57,849391.88
2009-08-19,11,11,11,11,163036.12
2009-08-20,11,11,11,11,51975
2009-08-21,10.45,10.45,10.45,10.45,2232084.38
2009-08-24,10.97,10.97,10.97,10.97,1006652.25
2009-08-25,11.51,11.51,11.51,11.51,405191.25
2009-08-26,11.96,11.96,11.96,11.96,6911119.12
2009-08-27,11.73,11.73,11.73,11.73,293162.62
2009-08-28,11.15,11.15,11.15,11.15,229529.25
2009-08-31,10.61,10.61,10.61,10.61,3308427
2009-09-01,10.09,10.09,10.09,10.09,3582176.62
2009-09-02,9.69,9.69,9.69,9.69,1287135
2009-09-03,10.17,10.17,10.17,10.17,3427737.75
2009-09-04,10.22,10.22,10.22,10.22,1870062.75
2009-09-07,9.72,9.72,9.72,9.72,7856012.25
2009-09-08,9.26,9.26,9.26,9.26,4180690.12
2009-09-09,9.51,9.51,9.51,9.51,2851445.25
2009-09-10,9.98,9.98,9.98,9.98,1800751.5
2009-09-11,9.51,9.51,9.51,9.51,4472686.12
2009-09-14,9.51,9.51,9.51,9.51,667319.62
2009-09-15,9.78,9.78,9.78,9.78,2442018.38
2009-09-16,10.22,10.22,10.22,10.22,1660766.62
2009-09-17,10.53,10.53,10.53,10.53,2321296.88
2009-09-18,10.93,10.93,10.93,10.93,1808050.5
2009-09-23,10.67,10.67,10.67,10.67,514445.62
2009-09-24,10.67,10.67,10.67,10.67,1006996.5
2009-09-25,11.02,11.02,11.02,11.02,903008.25
2009-09-28,10.5,10.5,10.5,10.5,1182179.25
2009-09-29,10.89,10.89,10.89,10.89,687562.88
2009-09-30,10.84,10.84,10.84,10.84,487879.88
2009-10-02,10.71,10.71,10.71,10.71,300991.5
2009-10-05,11.23,11.23,11.23,11.23,1370876.62
2009-10-06,11.56,11.56,11.56,11.56,1424757.38
2009-10-07,11.72,11.72,11.11,11.11,682896.38
2009-10-08,11.11,11.11,11.11,11.11,199014.75
2009-10-09,11.11,11.11,11.11,11.11,314154
2009-10-12,11.1,11.11,11.1,11.11,545190.75
2009-10-13,11.1,11.11,10.76,11.11,1005701.62
2009-10-14,10.66,10.66,10.66,10.66,778662
2009-10-15,10.51,10.51,10.13,10.51,1076607
2009-10-16,10.51,10.51,10.51,10.51,169905.38
2009-10-19,10.92,11.03,10.72,10.85,1834935.75
2009-10-20,10.68,11.11,10.68,10.9,716913
2009-10-21,10.93,11.11,10.93,11.11,1561905
2009-10-22,11.07,11.07,11.02,11.02,685983.38
2009-10-23,10.93,11.36,10.69,11.33,879212.25
2009-10-26,11.56,11.56,11.38,11.38,1190650.5
2009-10-27,11.13,11.74,11.13,11.29,982608.75
2009-10-28,11.29,11.29,11.29,11.29,320213.25
2009-10-29,11.42,11.57,11.42,11.56,3010459.5
2009-10-30,11.64,11.64,11.64,11.64,618196.5
2009-11-02,11.64,11.64,11.64,11.64,340135.88
2009-11-03,11.91,11.91,11.91,11.91,0
2009-11-04,12,12,12,12,756028.12
2009-11-05,12.02,12.36,12.02,12.19,894548.25
2009-11-06,12.17,12.17,12.17,12.17,460485
2009-11-09,12.02,12.02,12,12,785156.62
2009-11-10,12,12.22,12,12.09,763704
2009-11-11,12.09,12.09,12.09,12.09,358306.88
2009-11-12,0,12.09,0,12.09,633492
2009-11-13,12.09,12.09,12.09,12.09,636797.25
2009-11-16,11.56,11.56,11.56,11.56,350118
2009-11-17,12.03,12.03,12.01,12.01,521181
2009-11-18,11.56,11.56,11.56,11.56,959050.12
2009-11-19,11.56,11.56,10.98,11.56,4818007.12
2009-11-20,11.29,11.42,11.03,11.42,5649055.88
2009-11-23,11.11,11.41,11.11,11.16,2684793.38
2009-11-24,11.16,11.16,11.11,11.11,1447198.88
2009-11-25,10.98,11.11,10.67,10.92,3364331.62
2009-11-30,10.49,10.67,10.38,10.38,1871129.25
2009-12-01,9.96,9.96,9.87,9.87,1154081.25
2009-12-02,9.51,10.36,9.42,10.36,3319121.25
2009-12-03,10.68,10.84,10.68,10.84,461362.5
2009-12-04,0,10.84,0,10.84,133536.38
2009-12-07,10.84,10.84,10.84,10.84,258923.25
2009-12-08,10.33,10.84,10.33,10.8,1052284.5
2009-12-09,10.67,10.67,10.67,10.67,330568.88
2009-12-10,10.67,10.67,10.67,10.67,372897
2009-12-11,10.67,10.67,10.67,10.67,937323
2009-12-14,10.58,10.66,10.4,10.4,1285771.5
2009-12-15,10.53,10.53,10.4,10.4,659731.5
2009-12-16,10.67,10.67,10.6,10.67,400950
2009-12-17,10.41,10.41,10.41,10.41,351313.88
2009-12-18,10.31,10.31,10.31,10.31,297987.75
2009-12-21,0,10.31,0,10.31,381549.38
2009-12-22,10.49,10.49,10.49,10.49,327623.62
2009-12-23,0,10.49,0,10.49,91714.5
2009-12-28,10.41,10.41,10.41,10.41,210841.88
2009-12-29,10.67,10.67,10.31,10.31,640705.5
2009-12-30,10.31,10.31,9.81,9.81,452398.5
2009-12-31,10.27,10.27,10.27,10.27,343802.25
