,Open,High,Low,Close,Volume
2008-01-14,22,22,22,22,98984
2008-01-15,22,22,22,22,21680
2008-01-16,22,22,22,22,21760
2008-01-17,22.5,22.5,22.5,22.5,158696
2008-01-18,23.61,23.61,23.61,23.61,0
2008-01-21,22.43,22.43,22.43,22.43,467228
2008-01-22,22.43,22.43,22.43,22.43,9088
2008-01-23,22.43,22.43,22.43,22.43,45628
2008-01-24,22,22,22,22,50028
2008-01-25,20.9,20.9,20.9,20.9,25888
2008-01-28,21,21,21,21,137064
2008-01-29,21.25,21.25,21.25,21.25,101460
2008-01-30,22.25,22.25,22.25,22.25,10248
2008-01-31,21.5,21.5,21.5,21.5,70128
2008-02-01,21.5,21.5,21.5,21.5,41400
2008-02-04,22.57,22.57,22.57,22.57,484224
2008-02-05,23.7,23.7,23.7,23.7,159104
2008-02-06,0,0,0,23.5,10820
2008-02-07,23.5,23.5,23.5,23.5,62880
2008-02-08,23.5,23.5,23.5,23.5,19620
2008-02-11,22.5,22.5,22.5,22.5,45524
2008-02-12,21.52,21.52,21.52,21.52,78344
2008-02-13,22.6,22.6,22.6,22.6,49728
2008-02-14,23.73,23.73,23.73,23.73,341832
2008-02-15,0,0,0,24.91,543948
2008-02-18,26.16,26.16,26.16,26.16,231060
2008-02-19,25,25,25,25,1887684
2008-02-20,25,25,25,25,1302920
2008-02-21,26.25,26.25,26.25,26.25,497316
2008-02-22,27.56,27.56,27.56,27.56,104536
2008-02-25,0,0,0,28.94,22332
2008-02-26,30.39,30.39,30.39,30.39,1438400
2008-02-27,31.9,31.9,31.9,31.9,221328
2008-02-28,32.5,32.5,32.5,32.5,286632
2008-02-29,0,0,0,34.12,260496
2008-03-03,35.25,35.25,35.25,35.25,167192
2008-03-04,33.5,33.5,33.5,33.5,571500
2008-03-05,33.75,33.75,33.75,33.75,175000
2008-03-06,32.06,32.06,32.06,32.06,94328
2008-03-07,33.25,33.25,33.25,33.25,1189880
2008-03-10,31.59,31.59,31.59,31.59,622204
2008-03-11,30.01,30.01,30.01,30.01,164800
2008-03-12,31.51,31.51,31.51,31.51,230448
2008-03-13,33.09,33.09,33.09,33.09,794728
2008-03-14,33.09,33.09,33.09,33.09,10372
2008-03-17,34.74,34.74,34.74,34.74,0
2008-03-18,35,35,35,35,16864
2008-03-20,34.75,34.75,34.75,34.75,77400
2008-03-25,34.75,34.75,34.75,34.75,277112
2008-03-26,34.25,34.25,34.25,34.25,0
2008-03-27,34,34,34,34,28000
2008-03-28,32.3,32.3,32.3,32.3,0
2008-03-31,32.3,32.3,32.3,32.3,15732
2008-04-01,30.68,30.68,30.68,30.68,51400
2008-04-02,29.75,29.75,29.75,29.75,426628
2008-04-03,28.26,28.26,28.26,28.26,8388
2008-04-04,28.25,28.25,28.25,28.25,8388
2008-04-07,29.66,29.66,29.66,29.66,0
2008-04-08,30,30,30,30,88776
2008-04-09,31.5,31.5,31.5,31.5,0
2008-04-10,30,30,30,30,0
2008-04-11,30,30,30,30,220000
2008-04-14,30,30,30,30,63912
2008-04-15,0,0,0,28.5,2942400
2008-04-16,27.12,27.12,27.12,27.12,196000
2008-04-17,27,27,27,27,105704
2008-04-18,25.65,25.65,25.65,25.65,77152
2008-04-21,0,0,0,25.52,448332
2008-04-22,25.52,25.52,25.52,25.52,451940
2008-04-23,24.75,24.75,24.75,24.75,57768
2008-04-24,24.25,24.25,24.25,24.25,29456
2008-04-25,24.25,24.25,24.25,24.25,213448
2008-04-28,24.25,24.25,24.25,24.25,86000
2008-04-29,24.25,24.25,24.25,24.25,1185048
2008-04-30,24.25,24.25,24.25,24.25,237480
2008-05-02,24.25,24.25,24.25,24.25,124000
2008-05-05,24.25,24.25,24.25,24.25,76956
2008-05-06,24.75,24.75,24.75,24.75,1620960
2008-05-07,24.75,24.75,24.75,24.75,132192
2008-05-08,0,0,0,24.75,0
2008-05-09,24.75,24.75,24.75,24.75,10664
2008-05-12,24.75,24.75,24.75,24.75,4000
2008-05-13,0,0,0,24.75,45400
2008-05-14,25.99,25.99,25.99,25.99,425400
2008-05-15,25.99,25.99,25.99,25.99,72612
2008-05-16,27.29,27.29,27.29,27.29,694128
2008-05-19,27.29,27.29,27.29,27.29,31820
2008-05-20,27.29,27.29,27.29,27.29,104532
2008-05-21,27.29,27.29,27.29,27.29,9732
2008-05-22,27.29,27.29,27.29,27.29,84832
2008-05-23,27.29,27.29,27.29,27.29,48308
2008-05-26,27.29,27.29,27.29,27.29,142968
2008-05-27,27.29,27.29,27.29,27.29,10068
