,Open,High,Low,Close,Volume
2008-01-14,25.38,25.38,25.38,25.38,283968.26
2008-01-15,26.1,26.1,26.1,26.1,332685.9
2008-01-16,27.02,27.02,27.02,27.02,293311.46
2008-01-17,26.82,26.82,26.82,26.82,447121.86
2008-01-18,26.81,26.81,26.81,26.81,0
2008-01-21,26.1,26.1,26.1,26.1,588885.27
2008-01-22,26.47,26.47,26.47,26.47,320971.37
2008-01-23,26.1,26.1,26.1,26.1,178894.82
2008-01-24,26.18,26.18,26.18,26.18,730063.79
2008-01-25,27.02,27.02,27.02,27.02,717426.39
2008-01-28,26.24,26.24,26.24,26.24,237368.12
2008-01-29,27.54,27.54,27.54,27.54,448497.2
2008-01-30,27.77,27.77,27.77,27.77,403497.25
2008-01-31,27.55,27.55,27.55,27.55,333503.93
2008-02-01,28.92,28.92,28.92,28.92,415884.96
2008-02-04,30.37,30.37,30.37,30.37,297725.79
2008-02-05,31.88,31.88,31.88,31.88,1116665.2
2008-02-06,0,0,0,32.7,909528.33
2008-02-07,34.33,34.33,34.33,34.33,166211.9
2008-02-08,36.04,36.04,36.04,36.04,289264.08
2008-02-11,37.84,37.84,37.84,37.84,679156.92
2008-02-12,39.73,39.73,39.73,39.73,703645.41
2008-02-13,41.71,41.71,41.71,41.71,2278767.63
2008-02-14,41.33,41.33,41.33,41.33,616859.7
2008-02-15,0,0,0,39.26,1596982.81
2008-02-18,37.3,37.3,37.3,37.3,1154180.09
2008-02-19,37.49,37.49,37.49,37.49,685634.95
2008-02-20,35.62,35.62,35.62,35.62,609351.2
2008-02-21,34.72,34.72,34.72,34.72,446647.32
2008-02-22,34.07,34.07,34.07,34.07,1502781.03
2008-02-25,0,0,0,34.15,191448.07
2008-02-26,34.43,34.43,34.43,34.43,789408.92
2008-02-27,34.8,34.8,34.8,34.8,1114887.05
2008-02-28,33.11,33.11,33.11,33.11,1144825.85
2008-02-29,0,0,0,33.13,92136.7
2008-03-03,33.35,33.35,33.35,33.35,340398.56
2008-03-04,35.01,35.01,35.01,35.01,275016.83
2008-03-05,35.52,35.52,35.52,35.52,849732.11
2008-03-06,34.8,34.8,34.8,34.8,409012.4
2008-03-07,35.52,35.52,35.52,35.52,1450907.14
2008-03-10,34.26,34.26,34.26,34.26,2670122.72
2008-03-11,35.52,35.52,35.52,35.52,522289.6
2008-03-12,35.96,35.96,35.96,35.96,894959.66
2008-03-13,34.91,34.91,34.91,34.91,195271.98
2008-03-14,36.25,36.25,36.25,36.25,374072.99
2008-03-17,34.43,34.43,34.43,34.43,0
2008-03-18,35.52,35.52,35.52,35.52,626172.56
2008-03-20,34.78,34.78,34.78,34.78,85803.52
2008-03-25,33.05,33.05,33.05,33.05,251775.39
2008-03-26,31.4,31.4,31.4,31.4,0
2008-03-27,30.23,30.23,30.23,30.23,410942.29
2008-03-28,31.74,31.74,31.74,31.74,0
2008-03-31,32.62,32.62,32.62,32.62,690401.04
2008-04-01,31.76,31.76,31.76,31.76,466720.1
2008-04-02,33.13,33.13,33.13,33.13,712985.85
2008-04-03,34.61,34.61,34.61,34.61,489998.79
2008-04-04,36.34,36.34,36.34,36.34,489998.79
2008-04-07,36.25,36.25,36.25,36.25,0
2008-04-08,34.44,34.44,34.44,34.44,1458797.76
2008-04-09,34.07,34.07,34.07,34.07,0
2008-04-10,32.37,32.37,32.37,32.37,0
2008-04-11,32.25,32.25,32.25,32.25,206012.59
2008-04-14,30.81,30.81,30.81,30.81,357458.56
2008-04-15,0,0,0,29.37,344946.7
2008-04-16,29,29,29,29,310632.19
2008-04-17,27.56,27.56,27.56,27.56,196499.71
2008-04-18,26.46,26.46,26.46,26.46,154146.99
2008-04-21,0,0,0,27.55,387056.64
2008-04-22,27.55,27.55,27.55,27.55,333741.2
2008-04-23,28.92,28.92,28.92,28.92,163847.47
2008-04-24,27.56,27.56,27.56,27.56,292374.8
2008-04-25,28.94,28.94,28.94,28.94,166900.26
2008-04-28,28.63,28.63,28.63,28.63,388284.37
2008-04-29,28.26,28.26,28.26,28.26,360879.67
2008-04-30,28.2,28.2,28.2,28.2,400474.82
2008-05-02,28.2,28.2,28.2,28.2,90415.11
2008-05-05,26.79,26.79,26.79,26.79,201820.36
2008-05-06,28.13,28.13,28.13,28.13,517035.17
2008-05-07,27.93,27.93,27.93,27.93,278124.79
2008-05-08,0,0,0,29.32,0
2008-05-09,29.14,29.14,29.14,29.14,239120.06
2008-05-12,30.16,30.16,30.16,30.16,169295.03
2008-05-13,0,0,0,31.17,220899.92
2008-05-14,32.61,32.61,32.61,32.61,478732.59
2008-05-15,31.61,31.61,31.61,31.61,554834.24
2008-05-16,31.61,31.61,31.61,31.61,452391.46
2008-05-19,31.61,31.61,31.61,31.61,111841.16
2008-05-20,30.3,30.3,30.3,30.3,344250.06
2008-05-21,28.82,28.82,28.82,28.82,159315.89
2008-05-22,27.53,27.53,27.53,27.53,542654.83
2008-05-23,26.24,26.24,26.24,26.24,476139.17
2008-05-26,24.93,24.93,24.93,24.93,557594.58
2008-05-27,24.65,24.65,24.65,24.65,855626.61
2008-05-28,24.79,24.79,24.79,24.79,731308.08
2008-05-30,24.68,24.68,24.68,24.68,875470.4
2008-06-02,23.91,23.91,23.91,23.91,928727.9
2008-06-03,23.8,23.8,23.8,23.8,656958.36
2008-06-04,23.92,23.92,23.92,23.92,0
2008-06-05,23.92,23.92,23.92,23.92,4626024.95
2008-06-06,24.13,24.13,24.13,24.13,247952.85
2008-06-09,24.13,24.13,24.13,24.13,277462.64
2008-06-10,24.13,24.13,24.13,24.13,190489.33
