,Open,High,Low,Close,Volume
2009-05-11,60,60,60,60,191983
2009-05-12,57.72,57.72,57.72,57.72,401490
2009-05-13,58.55,58.55,58.55,58.55,213104
2009-05-14,57.05,57.05,57.05,57.05,211462
2009-05-15,56.9,56.9,56.9,56.9,93477
2009-05-18,59.74,59.74,59.74,59.74,96959
2009-05-19,62.72,62.72,62.72,62.72,160936
2009-05-20,65.85,65.85,65.85,65.85,223948
2009-05-21,68.7,68.7,68.7,68.7,72091
2009-05-22,70,70,70,70,65381
2009-05-25,66.5,66.5,66.5,66.5,161229
2009-05-26,64,64,64,64,110909
2009-05-27,60.81,60.81,60.81,60.81,107539
2009-05-28,63.85,63.85,63.85,63.85,34718
2009-06-01,60.81,60.81,60.81,60.81,0
2009-06-02,62.5,62.5,62.5,62.5,514589
2009-06-03,62.5,62.5,62.5,62.5,67609
2009-06-04,60,60,60,60,52022
2009-06-05,59,59,59,59,181344
2009-06-08,59,59,59,59,43399
2009-06-09,57.02,57.02,57.02,57.02,78570
2009-06-10,59.86,59.86,59.86,59.86,60252
2009-06-11,59.86,59.86,59.86,59.86,38802
2009-06-12,59.86,59.86,59.86,59.86,19301
2009-06-15,62.85,62.85,62.85,62.85,56683
2009-06-16,62,62,62,62,53367
2009-06-17,61.5,61.5,61.5,61.5,56456
2009-06-18,61.5,61.5,61.5,61.5,38805
2009-06-19,61.5,61.5,61.5,61.5,672843
2009-06-22,61.5,61.5,61.5,61.5,9633
2009-06-23,61.5,61.5,61.5,61.5,32027
2009-06-24,61.5,61.5,61.5,61.5,8150
2009-06-25,61.5,61.5,61.5,61.5,9542
2009-06-26,61.5,61.5,61.5,61.5,27346
2009-06-29,61.5,61.5,61.5,61.5,4707
2009-06-30,58.43,58.43,58.43,58.43,250560
2009-07-01,58.43,58.43,58.43,58.43,15635
2009-07-02,57.99,57.99,57.99,57.99,66562
2009-07-03,57.99,57.99,57.99,57.99,7039
2009-07-06,57,57,56,57.99,6700
2009-07-07,57.9,57.9,57.9,57.9,379945
2009-07-08,57.9,57.9,57.9,57.9,33653
2009-07-09,57.9,57.9,57.9,57.9,37386
2009-07-10,57.9,57.9,57.9,57.9,12616
2009-07-13,57.9,57.9,57.9,57.9,9072
2009-07-14,55.01,55.01,55.01,55.01,52726
2009-07-15,55.01,55.01,55.01,55.01,23015
2009-07-16,55.01,55.01,55.01,55.01,19480
2009-07-17,52.26,52.26,52.26,52.26,127394
2009-07-20,52.26,52.26,52.26,52.26,128752
2009-07-21,52.26,52.26,52.26,52.26,30185
2009-07-22,49.65,49.65,49.65,49.65,106046
2009-07-23,49.65,49.65,49.65,49.65,11570
2009-07-24,49.65,49.65,49.65,49.65,5235
2009-07-27,49.65,49.65,49.65,49.65,35404
2009-07-28,49.65,49.65,49.65,49.65,27481
2009-07-29,52.13,52.13,52.13,49.65,8865
2009-07-30,49.65,52.13,52.13,49.65,21865
2009-07-31,52.13,52.13,52.13,52.13,51828
2009-08-03,52.13,52.13,52.13,52.13,16190
2009-08-04,52.13,52.13,52.13,52.13,15929
