,Open,High,Low,Close,Volume
2010-10-25,0,0,0,122.73,0
2010-10-26,122.73,122.73,122.73,122.73,215785818.6
2010-10-27,122.73,122.73,122.73,122.73,12682199.2
2010-10-28,122.73,122.73,122.73,122.73,800747.2
2010-10-29,122.73,122.73,122.73,122.73,204343.7
2010-11-01,122.73,122.73,122.73,122.73,152777.9
2010-11-02,116.59,116.59,116.59,116.59,161456.9
2010-11-03,110.76,116.59,110.76,116.59,1651003.2
2010-11-04,116.59,116.59,116.59,116.59,467747.5
2010-11-05,116.59,116.59,116.59,116.59,30297.3
2010-11-08,116.59,116.59,116.59,116.59,249462.4
2010-11-09,110.76,122.42,110.76,122.42,4750962.7
2010-11-10,117.27,117.27,116.31,116.31,392257.8
2010-11-11,110.5,120.91,110.5,120.91,9580353.2
2010-11-12,120.91,120.91,114.86,114.86,1963381.2
2010-11-15,114.86,114.86,114.86,114.86,84795.7
2010-11-18,113.05,113.05,113.05,113.05,3716854.9
2010-11-19,113.05,113.64,110,110.14,579335.9
2010-11-22,110.14,110.14,110.14,110.14,467474.7
2010-11-23,110.14,110.14,110.14,110.14,538494
2010-11-24,110.14,110.14,110.14,110.14,168524.4
2010-11-25,110.14,110.14,110.14,110.14,147392.3
2010-11-26,110.14,110.14,110.14,110.14,156130.7
2010-11-29,110.14,110.14,110.14,110.14,151135.6
2010-11-30,112.73,112.74,112.73,112.74,533883.9
2010-12-01,112.74,112.74,112.74,112.74,115934.5
2010-12-02,112.74,112.74,112.74,112.74,102999.6
2010-12-03,111.92,111.92,111.92,111.92,440135.3
2010-12-06,112.55,112.55,112.27,112.27,1108592.1
2010-12-07,112.32,112.33,112.27,112.27,387170.3
2010-12-08,112.27,112.27,112.27,112.27,643179.9
2010-12-09,112.27,112.27,112.27,112.27,140225.8
2010-12-10,112.27,112.27,112.26,112.26,1680213.7
2010-12-13,110.91,110.91,110.91,110.91,242203.5
2010-12-14,110.91,111.82,110.91,111.82,366054.7
2010-12-15,113.64,113.64,113.18,113.18,1248234.9
2010-12-16,111.82,111.82,109.32,109.32,4246840.4
2010-12-17,110,114.54,108.18,111.36,4465817.4
2010-12-20,109.59,109.59,109.09,109.09,3636906.9
2010-12-21,109.09,109.09,109.09,109.09,2802815.4
2010-12-22,109.09,109.09,109.09,109.09,74895.7
2010-12-23,109.09,109.09,109.09,109.09,120400.5
2010-12-24,109.09,109.09,109.09,109.09,20994.6
2010-12-29,109.09,109.09,109.09,109.09,10577.6
2010-12-30,109.09,109.09,109.09,109.09,29231.4
2010-12-31,109.09,109.09,109.09,109.09,23749
2011-01-04,109.09,109.09,109.09,109.09,47869.8
2011-01-05,114.55,114.55,114.55,114.55,468666
2011-01-06,114.55,115.45,114.55,115.45,2288069.3
2011-01-07,115,115,115,115,243860.1
2011-01-10,115,115,115,115,42719.6
2011-01-11,115,115,115,115,99569.8
2011-01-12,115,115,115,115,109883.4
2011-01-13,117.28,119.04,117.28,118.2,407587.4
2011-01-14,118.2,118.2,118.2,118.2,192925.7
2011-01-17,118.24,118.25,118.24,118.25,765560.4
2011-01-18,118.18,118.18,118.18,118.18,189790.7
2011-01-19,118.18,118.18,118.18,118.18,387847.9
2011-01-20,118.18,118.18,118.18,118.18,1281793.7
2011-01-21,119.09,119.55,119.09,119.55,351670
2011-01-24,119.55,119.55,119.55,119.55,125381.3
2011-01-25,120.46,120.46,120.46,120.46,187271.7
2011-01-26,120.46,120.46,120.46,120.46,163852.7
2011-01-27,120.46,120.46,120.46,120.46,40076.3
2011-01-28,118.41,118.41,118.41,118.41,254571.9
2011-01-31,118.18,118.18,117.37,117.37,1702676.8
2011-02-01,117.27,117.27,117.27,117.27,669104.7
2011-02-02,117.27,117.27,117.27,117.27,873400
2011-02-03,117.27,117.27,117.27,117.27,202976.4
2011-02-04,115,115,115,115,232600.5
2011-02-07,115,115,115,115,321718.1
