,Open,High,Low,Close,Volume
2008-02-04,0,0,0,15.75,15000
2008-02-05,16.53,16.53,16.53,16.53,19000
2008-02-06,0,0,0,17.35,16100
2008-02-07,18.21,18.21,18.21,18.21,15800
2008-02-08,19.12,19.12,19.12,19.12,16100
2008-02-11,20.07,20.07,20.07,20.07,16250
2008-02-12,21.07,21.07,21.07,21.07,15800
2008-02-13,22.12,22.12,22.12,22.12,15200
2008-02-14,23.22,23.22,23.22,23.22,15750
2008-02-15,0,0,0,24.38,16000
2008-02-18,25.59,25.59,25.59,25.59,15500
2008-02-19,26.86,26.86,26.86,26.86,15900
2008-02-20,28.2,28.2,28.2,28.2,15125
2008-02-21,29.61,29.61,29.61,29.61,21075
2008-02-22,31.09,31.09,31.09,31.09,9160
2008-02-25,0,0,0,32.64,83701
2008-02-26,34.27,34.27,34.27,34.27,729825
2008-02-27,35.98,35.98,35.98,35.98,681340
2008-02-28,37.77,37.77,37.77,37.77,2598984
2008-02-29,0,0,0,39.65,387445
2008-03-03,41.63,41.63,41.63,41.63,1887188
2008-03-04,43.71,43.71,43.71,43.71,362131
2008-03-05,45.89,45.89,45.89,45.89,768978
2008-03-06,48.18,48.18,48.18,48.18,900518
2008-03-07,50.58,50.58,50.58,50.58,10513278
2008-03-10,51,51,51,51,1332604
2008-03-11,49.99,49.99,49.99,49.99,3307226
2008-03-12,47.5,47.5,47.5,47.5,6537377
2008-03-13,45.13,45.13,45.13,45.13,17102496
2008-03-14,42.88,42.88,42.88,42.88,9449330
2008-03-17,40.74,40.74,40.74,40.74,0
2008-03-18,38.71,38.71,38.71,38.71,3236710
2008-03-20,36.78,36.78,36.78,36.78,1043986
2008-03-25,34.95,34.95,34.95,34.95,1877381
2008-03-26,33.21,33.21,33.21,33.21,0
2008-03-27,34.87,34.87,34.87,34.87,2102064
2008-03-28,34.96,34.96,34.96,34.96,0
2008-03-31,34,34,34,34,1810629
2008-04-01,34.9,34.9,34.9,34.9,890102
2008-04-02,33.16,33.16,33.16,33.16,2711884
2008-04-03,32,32,32,32,3327427
2008-04-04,30.63,30.63,30.63,30.63,3327427
2008-04-07,31,31,31,31,0
2008-04-08,31,31,31,31,2521890
2008-04-09,32.55,32.55,32.55,32.55,0
2008-04-10,31.5,31.5,31.5,31.5,0
