,Open,High,Low,Close,Volume
2008-01-14,36.58,36.58,36.58,36.58,5664920.4
2008-01-15,36.83,36.83,36.83,36.83,11138272.8
2008-01-16,36.83,36.83,36.83,36.83,9613053.6
2008-01-17,36.67,36.67,36.67,36.67,6022311.6
2008-01-18,35.83,35.83,35.83,35.83,0
2008-01-21,34.5,34.5,34.5,34.5,9062461.2
2008-01-22,33.26,33.26,33.26,33.26,7160130
2008-01-23,33.33,33.33,33.33,33.33,6702085.2
2008-01-24,33.28,33.28,33.28,33.28,9045384
2008-01-25,32.5,32.5,32.5,32.5,3526572
2008-01-28,33.12,33.12,33.12,33.12,4600252.8
2008-01-29,33.25,33.25,33.25,33.25,2764818
2008-01-30,34.68,34.68,34.68,34.68,2812226.4
2008-01-31,34,34,34,34,4592569.2
2008-02-01,34.33,34.33,34.33,34.33,9054330
2008-02-04,34.83,34.83,34.83,34.83,2576594.4
2008-02-05,34.75,34.75,34.75,34.75,12105514.8
2008-02-06,0,0,0,36.48,9288784.8
2008-02-07,36.45,36.45,36.45,36.45,9899673.6
2008-02-08,35.77,35.77,35.77,35.77,22160268
2008-02-11,36,36,36,36,6888706.8
2008-02-12,35.83,35.83,35.83,35.83,5100979.2
2008-02-13,35.83,35.83,35.83,35.83,9603846
2008-02-14,36.25,36.25,36.25,36.25,11656903.2
2008-02-15,0,0,0,35.83,11260621.2
2008-02-18,35.83,35.83,35.83,35.83,4137360
2008-02-19,35.38,35.38,35.38,35.38,3878430
2008-02-20,35.25,35.25,35.25,35.25,6185990.4
2008-02-21,35.42,35.42,35.42,35.42,6341268
2008-02-22,35.5,35.5,35.5,35.5,3470538
2008-02-25,0,0,0,35.82,6321166.8
2008-02-26,34.79,34.79,34.79,34.79,8776033.2
2008-02-27,35.83,35.83,35.83,35.83,6197254.8
2008-02-28,35.83,35.83,35.83,35.83,16371369.6
2008-02-29,0,0,0,36.42,2667952.8
2008-03-03,37.5,37.5,37.5,37.5,6299467.2
2008-03-04,38.75,38.75,38.75,38.75,14436694.8
2008-03-05,38.33,38.33,38.33,38.33,10515211.2
2008-03-06,38.83,38.83,38.83,38.83,14931432
2008-03-07,37,37,37,37,12995269.2
2008-03-10,36.68,36.68,36.68,36.68,5726217.6
2008-03-11,37.5,37.5,37.5,37.5,15774440.4
2008-03-12,39.38,39.38,39.38,39.38,15253830
2008-03-13,41.34,41.34,41.34,41.34,10488675.6
2008-03-14,42.5,42.5,42.5,42.5,20037757.2
2008-03-17,40.38,40.38,40.38,40.38,0
2008-03-18,38.36,38.36,38.36,38.36,36631869.6
2008-03-20,39.17,39.17,39.17,39.17,21397910.4
2008-03-25,40,40,40,40,14178207.6
2008-03-26,38.33,38.33,38.33,38.33,0
2008-03-27,39.83,39.83,39.83,39.83,46221793.2
2008-03-28,39.41,39.41,39.41,39.41,0
2008-03-31,40.99,40.99,40.99,40.99,16631998
2008-04-01,38.95,38.95,38.95,38.95,4990074
2008-04-02,37.01,37.01,37.01,37.01,5488800
2008-04-03,36.8,36.8,36.8,36.8,3967875
2008-04-04,37,37,37,37,3967875
2008-04-07,38.7,38.7,38.7,38.7,0
2008-04-08,38.5,38.5,38.5,38.5,6878097
2008-04-09,38.5,38.5,38.5,38.5,0
2008-04-10,37.99,37.99,37.99,37.99,0
2008-04-11,36.25,36.25,36.25,36.25,6015639
2008-04-14,36.4,36.4,36.4,36.4,2707571
2008-04-15,0,0,0,36.92,2014559
2008-04-16,35.08,35.08,35.08,35.08,6087146
2008-04-17,33.6,33.6,33.6,33.6,3178195
2008-04-18,35.23,35.23,35.23,35.23,2611308
2008-04-21,0,0,0,36.5,2964883
2008-04-22,36,36,36,36,5800073
2008-04-23,35.74,35.74,35.74,35.74,3258787
2008-04-24,35.98,35.98,35.98,35.98,2403900
2008-04-25,35.01,35.01,35.01,35.01,7684100
2008-04-28,35,35,35,35,6533732
2008-04-29,34.7,34.7,34.7,34.7,7926651
2008-04-30,34.9,34.9,34.9,34.9,4658337
2008-05-02,34,34,34,34,1711089
2008-05-05,32.3,32.3,32.3,32.3,10414969
2008-05-06,30.98,30.98,30.98,30.98,10803591
2008-05-07,32.52,32.52,32.52,32.52,2915529
2008-05-08,0,0,0,34.14,0
2008-05-09,35.83,35.83,35.83,35.83,10247663
2008-05-12,35,35,35,35,6150486
2008-05-13,0,0,0,35,4669099
2008-05-14,35,35,35,35,4747569
2008-05-15,34,34,34,34,5443949
2008-05-16,34.05,34.05,34.05,34.05,3905862
2008-05-19,35.7,35.7,35.7,35.7,14975641
2008-05-20,34.5,34.5,34.5,34.5,2066377
2008-05-21,33.99,33.99,33.99,33.99,8993345
2008-05-22,35,35,35,35,8050105
2008-05-23,33.99,33.99,33.99,33.99,3053184
2008-05-26,34,34,34,34,1982012
2008-05-27,33.9,33.9,33.9,33.9,3475578
2008-05-28,33.87,33.87,33.87,33.87,4698758
2008-05-30,33.51,33.51,33.51,33.51,5927967
2008-06-02,32.95,32.95,32.95,32.95,7963929
2008-06-03,33,33,33,33,8002681
2008-06-04,31.35,31.35,31.35,31.35,0
2008-06-05,31.5,31.5,31.5,31.5,10549232
2008-06-06,30,30,30,30,4798541
2008-06-09,30.05,30.05,30.05,30.05,2471261
2008-06-10,30.05,30.05,30.05,30.05,1712677
2008-06-11,31.5,31.5,31.5,31.5,2512897
2008-06-12,33,33,33,33,15014098
2008-06-13,0,0,0,33,5222108
2008-06-16,31.99,31.99,31.99,31.99,3579300
2008-06-17,30.41,30.41,30.41,30.41,1866920
2008-06-18,30,30,30,30,3442468
2008-06-19,30.5,30.5,30.5,30.5,6683846
2008-06-20,30.8,30.8,30.8,30.8,15783121
2008-06-23,30,30,30,30,2183608
2008-06-24,28.8,28.8,28.8,28.8,2223448
2008-06-25,28.8,28.8,28.8,28.8,3124716
2008-06-26,30.24,30.24,30.24,30.24,6247991
2008-06-27,0,0,0,31.75,6269633
2008-06-30,33.33,33.33,33.33,33.33,3999778
2008-07-01,34.99,34.99,34.99,34.99,3302551
2008-07-02,34.26,34.26,34.26,34.26,11363280
2008-07-03,33.8,33.8,33.8,33.8,5775012
2008-07-04,34,34,34,34,3532312
2008-07-07,32.31,32.31,32.31,32.31,6212581
2008-07-08,32.5,32.5,32.5,32.5,3788148
2008-07-09,31.5,31.5,31.5,31.5,4466369
2008-07-10,30.99,30.99,30.99,30.99,5281331
2008-07-11,29.99,29.99,29.99,29.99,9117716
2008-07-14,31.48,31.48,31.48,31.48,5096381
2008-07-15,31.99,31.99,31.99,31.99,3320445
2008-07-16,30.87,30.87,30.87,30.87,4466684
2008-07-17,29.56,29.56,29.56,29.56,2514075
2008-07-18,28.8,28.8,28.8,28.8,2420517
2008-07-21,28.5,28.5,28.5,28.5,15084650
2008-07-22,27.08,27.08,27.08,27.08,5165172
2008-07-23,28,28,28,28,17266049
2008-07-24,28.2,28.2,28.2,28.2,11946921
2008-07-25,27.8,27.8,27.8,27.8,2862760
2008-07-28,28,28,28,28,10378495
2008-07-29,29,29,29,29,13493432
2008-07-30,29,29,29,29,3758501
2008-07-31,28.95,28.95,28.95,28.95,2793791
2008-08-01,28.89,28.89,28.89,28.89,3085577
2008-08-04,28.5,28.5,28.5,28.5,1305887
2008-08-05,28,28,28,28,7004199
2008-08-06,27.5,27.5,27.5,27.5,2423921
2008-08-07,27.98,27.98,27.98,27.98,3318103
2008-08-08,27.08,27.08,27.08,27.08,2796764
2008-08-11,0,0,0,27.2,1952438
2008-08-12,27.99,27.99,27.99,27.99,3352205
2008-08-13,27.95,27.95,27.95,27.95,1453843
2008-08-14,26.56,26.56,26.56,26.56,5929042
2008-08-15,25.5,25.5,25.5,25.5,10564649
2008-08-18,25.39,25.39,25.39,25.39,2639176
2008-08-19,24.5,24.5,24.5,24.5,4924001
2008-08-20,23.3,23.3,23.3,23.3,7850597
2008-08-21,22.14,22.14,22.14,22.14,2480078
2008-08-22,21.04,21.04,21.04,21.04,7271501
2008-08-25,19.99,19.99,19.99,19.99,6166084
2008-08-26,20.98,20.98,20.98,20.98,12332533
2008-08-27,22.02,22.02,22.02,22.02,1411322
2008-08-28,23.12,23.12,23.12,23.12,808166
2008-08-29,22.27,22.27,22.27,22.27,177192
2008-09-01,23.38,23.38,23.38,23.38,326226
2008-09-02,24.54,24.54,24.54,24.54,21224598
2008-09-03,24.3,24.3,24.3,24.3,21487500
2008-09-04,24.06,24.06,24.06,24.06,10589898
2008-09-05,23.82,23.82,23.82,23.82,5907603
2008-09-08,23.59,23.59,23.59,23.59,16100356
2008-09-09,23.36,23.36,23.36,23.36,12124855
2008-09-10,23.13,23.13,23.13,23.13,21576634
2008-09-11,23,23,23,23,8958747
2008-09-12,22.92,22.92,22.92,22.92,3513197
2008-09-15,23.01,23.01,23.01,23.01,5124020
2008-09-16,22.8,22.8,22.8,22.8,4394186
2008-09-17,22.58,22.58,22.58,22.58,7914516
2008-09-18,22.36,22.36,22.36,22.36,9595808
2008-09-19,22.99,22.99,22.99,22.99,7040766
2008-09-22,23,23,23,23,5427961
2008-09-23,23,23,23,23,5064525
2008-09-24,22.98,22.98,22.98,22.98,5404278
2008-09-25,22.76,22.76,22.76,22.76,4938732
2008-09-26,22.54,22.54,22.54,22.54,2582636
2008-10-02,22.54,22.54,22.32,22.32,438121
2008-10-03,22.1,22.1,22.1,22.1,447484
2008-10-06,21.88,21.88,21.88,21.88,775610
2008-10-07,21.67,21.67,21.67,21.67,4026168
2008-10-08,21.46,21.46,21.46,21.46,2308406
2008-10-09,21.25,21.25,21.25,21.25,1626921
2008-10-10,21.04,21.04,21.04,21.04,544349
2008-10-13,20.83,20.83,20.83,20.83,702756
2008-10-14,20.63,20.63,20.63,20.63,834705
2008-10-15,20.43,20.43,20.43,20.43,1510416
2008-10-16,20.23,20.23,20.23,20.23,413270
2008-10-17,0,0,0,20.03,1410561
2008-10-20,19.83,19.83,19.83,19.83,1618065
2008-10-21,19.64,19.64,19.64,19.64,1320548
2008-10-22,19.45,19.45,19.45,19.45,1553070
2008-10-23,19.26,19.26,19.26,19.26,2009452
2008-10-24,19.07,19.07,19.07,19.07,1083316
2008-10-27,18.88,18.88,18.88,18.88,515072
2008-10-28,17.94,17.94,17.94,17.94,3968923
2008-10-29,17.36,17.36,17.36,17.36,5408503
2008-10-31,15.97,15.97,15.97,15.97,1000
2008-11-03,15.18,15.18,15.18,15.18,591282
2008-11-04,14.71,14.71,14.71,14.71,1422142
2008-11-05,13.98,13.98,13.98,13.98,3349705
2008-11-07,14.8,14.8,14.8,14.8,19179282
2008-11-10,15.54,15.54,15.54,15.54,10297290
2008-11-11,16.31,16.31,16.31,16.31,1309894
2008-11-12,17.12,17.12,17.12,17.12,3768067
2008-11-13,17.96,17.96,17.96,17.96,30396589
2008-11-14,18.85,18.85,18.85,18.85,6444102
2008-11-17,19.79,19.79,19.79,19.79,9740799
2008-11-18,20.77,20.77,20.77,20.77,13316753
2008-11-19,19.74,19.74,19.74,19.74,5565861
2008-11-20,18.76,18.76,18.76,18.76,1244428
2008-11-21,17.83,17.83,17.83,17.83,6959699
2008-11-24,16.94,16.94,16.94,16.94,3011664
2008-11-25,17.35,17.35,17.35,17.35,2569410
2008-11-26,16.5,16.5,16.5,16.5,6043192
2008-11-27,17.25,17.25,17.25,17.25,1859681
2008-11-28,17,17,17,17,4063668
2008-12-01,16.16,16.16,16.16,16.16,4014090
2008-12-02,16.61,16.61,16.61,16.61,1953227
2008-12-03,16.35,16.35,16.35,16.35,2085437
2008-12-04,16,16,16,16,2282730
2008-12-05,16,16,16,16,4163278
2008-12-10,15.2,15.2,15.2,15.2,3032484
2008-12-11,14.44,14.44,14.44,14.44,995779
2008-12-12,13.72,13.72,13.72,13.72,3403216
2008-12-15,13.99,13.99,13.99,13.99,1268889
2008-12-16,14.48,14.48,14.48,14.48,4829534
2008-12-17,15.2,15.2,15.2,15.2,11981658
2008-12-18,15.9,15.9,15.9,15.9,3131499
2008-12-19,15.51,15.51,15.51,15.51,2178978
2008-12-22,15.02,15.02,15.02,15.02,1252845
2008-12-23,15.03,15.03,15.03,15.03,1121914
2008-12-24,15.5,15.5,15.5,15.5,10285009
2008-12-29,16,16,16,16,2685548
2008-12-30,15.99,15.99,15.99,15.99,1726889
2008-12-31,15.5,15.5,15.5,15.5,2676235
2009-01-02,15.8,15.8,15.8,15.8,657421
2009-01-05,15.3,15.3,15.3,15.3,1976157
2009-01-06,14.54,14.54,14.54,14.54,3158273
2009-01-07,14,14,14,14,5026352
2009-01-08,13.96,13.96,13.96,13.96,2279599
2009-01-09,14.65,14.65,14.65,14.65,2779392
2009-01-12,14.9,14.9,14.9,14.9,1427855
2009-01-13,14.46,14.46,14.46,14.46,4061159
2009-01-14,13.9,13.9,13.9,13.9,2691085
2009-01-15,13.37,13.37,13.37,13.37,1268889
2009-01-16,14.03,14.03,14.03,14.03,2921900
2009-01-19,13.52,13.52,13.52,13.52,1718076
2009-01-20,12.85,12.85,12.85,12.85,4208844
2009-01-21,12.85,12.85,12.85,12.21,3012095
2009-01-22,11.6,11.6,11.6,11.6,6952837
2009-01-23,11.02,11.02,11.02,11.02,6952837
2009-01-26,10.47,10.47,10.47,10.47,6178487
2009-01-27,9.95,9.95,9.95,9.95,2835254
2009-01-28,9.86,9.86,9.86,9.86,8834966
2009-01-29,9.6,9.6,9.6,9.6,4846102
2009-01-30,10.08,10.08,10.08,10.08,3401204
2009-02-02,10.58,10.58,10.58,10.58,896584
2009-02-03,11.1,11.1,11.1,11.1,4476595
2009-02-04,11.65,11.65,11.65,11.65,2911706
2009-02-05,12.23,12.23,12.23,12.23,1945947
2009-02-06,12.83,12.83,12.83,12.83,7332779
2009-02-09,13.47,13.47,13.47,13.47,1885522
2009-02-10,14.06,14.06,14.06,14.06,4620846
2009-02-11,14.4,14.4,14.4,14.4,4535927
2009-02-12,14,14,14,14,2338510
2009-02-13,13.3,13.3,13.3,13.3,1845164
2009-02-16,12.82,12.82,12.82,12.82,2669427
2009-02-17,12.3,12.3,12.3,12.3,3918220
2009-02-18,12.41,12.41,12.41,12.41,654343
2009-02-19,13.03,13.03,13.03,13.03,1815498
2009-02-20,13.68,13.68,13.68,13.68,2551104
2009-02-23,14.36,14.36,14.36,14.36,3661039
2009-02-24,14.95,14.95,14.95,14.95,2240324
2009-02-25,14.85,14.85,14.85,14.85,5098843
2009-02-26,14.99,14.99,14.99,14.99,5264488
2009-02-27,15.5,15.5,15.5,15.5,1942280
2009-03-02,15.4,15.4,15.4,15.4,2017920
2009-03-03,15.5,15.5,15.5,15.5,11866982
2009-03-04,15.05,15.05,15.05,15.05,2556871
2009-03-05,15.5,15.5,15.5,15.5,2904202
2009-03-06,15.12,15.12,15.12,15.12,1645527
2009-03-10,15.6,15.6,15.6,15.6,2648428
2009-03-11,15.38,15.38,15.38,15.38,3819460
2009-03-12,15.4,15.4,15.4,15.4,3080081
2009-03-13,15.12,15.12,15.12,15.12,11003394
2009-03-16,15.77,15.77,15.77,15.77,2175310
2009-03-17,15.91,15.91,15.91,15.91,5014179
2009-03-18,15.2,15.2,15.2,15.2,1187602
2009-03-19,14.86,14.86,14.86,14.86,2059100
2009-03-20,14.49,14.49,14.49,14.49,1965311
2009-03-23,14.07,14.07,14.07,14.07,414391
2009-03-24,13.5,13.5,13.5,13.5,4195974
2009-03-25,13.5,13.5,13.5,13.5,2232217
2009-03-26,13.2,13.2,13.2,13.2,1735785
2009-03-27,13,13,13,13,632516
2009-03-30,12.83,12.83,12.83,12.83,894939
2009-03-31,13.44,13.44,13.44,13.44,1821421
2009-04-01,14.11,14.11,14.11,14.11,1578673
2009-04-07,14.7,14.7,14.7,14.7,1993225
2009-04-08,14.75,14.75,14.75,14.75,1240282
2009-04-09,0,14.75,14.31,14.31,2112050
2009-04-14,0,14.97,14.01,14.31,13281595
2009-04-15,0,14.72,14.19,14.7,13281595
2009-04-16,0,15,14.11,15,6603176
2009-04-17,0,15.45,14.63,15.45,627343
2009-04-20,0,16.22,15.03,16.22,5535112
2009-04-21,0,16.93,15.61,15.9,4529690
2009-04-22,16.69,16.69,16.69,16.69,4732430
2009-04-23,17.49,17.49,17.49,17.49,3474195
2009-04-24,17.92,17.92,17.92,17.92,5828671
2009-04-27,17.4,17.4,17.4,17.4,3132720
2009-04-28,17.18,17.18,17.18,17.18,2661758
2009-04-29,17,17,17,17,7287431
2009-04-30,17.2,17.2,17.2,17.2,5857883
2009-05-04,17.18,17.18,17.18,17.18,24162933
2009-05-05,16.77,16.77,16.77,16.77,10686475
2009-05-06,17.39,17.39,17.39,17.39,11575236
2009-05-07,17.69,17.69,17.69,17.69,1424659
2009-05-08,18.57,18.57,18.57,18.57,2947247
2009-05-11,19.49,19.49,19.49,19.49,2293450
2009-05-12,20.45,20.45,20.45,20.45,9335683
2009-05-13,21.47,21.47,21.47,21.47,8120994
2009-05-14,20.4,20.4,20.4,20.4,1970328
