,Open,High,Low,Close,Volume
2008-01-14,20.85,20.85,20.85,20.85,12733062.1
2008-01-15,21.32,21.32,21.32,21.32,14289331.1
2008-01-16,21.32,21.32,21.32,21.32,11986146.7
2008-01-17,20.85,20.85,20.85,20.85,7481293.6
2008-01-18,20.73,20.73,20.73,20.73,0
2008-01-21,20.91,20.91,20.91,20.91,13736536
2008-01-22,21.14,21.14,21.14,21.14,9552116.2
2008-01-23,20.45,20.45,20.45,20.45,9028813.2
2008-01-24,20.91,20.91,20.91,20.91,22232966.8
2008-01-25,20,20,20,20,9557350
2008-01-28,20,20,20,20,13093292.3
2008-01-29,20,20,20,20,13025905.2
2008-01-30,19.77,19.77,19.77,19.77,16099327.2
2008-01-31,19.55,19.55,19.55,19.55,20259558
2008-02-01,20.01,20.01,20.01,20.01,11065134.3
2008-02-04,20.75,20.75,20.75,20.75,9985035.5
2008-02-05,19.82,19.82,19.82,19.82,8141582.9
2008-02-06,0,0,0,20.45,10808886
2008-02-07,20.81,20.81,20.81,20.81,6322470
2008-02-08,20,20,20,20,7745477.3
2008-02-11,19.99,19.99,19.99,19.99,10675993.9
2008-02-12,19.56,19.56,19.56,19.56,89290223
2008-02-13,18.64,18.64,18.64,18.64,152296827.1
2008-02-14,19.56,19.56,19.56,19.56,39935700.2
2008-02-15,0,0,0,20.23,11197562.2
2008-02-18,19.54,19.54,19.54,19.54,28944757.6
2008-02-19,19.68,19.68,19.68,19.68,43805525.5
2008-02-20,19.91,19.91,19.91,19.91,50407504.4
2008-02-21,19.82,19.82,19.82,19.82,31127512.9
2008-02-22,19.55,19.55,19.55,19.55,26101135.5
2008-02-25,0,0,0,19.91,23418286.1
2008-02-26,19.87,19.87,19.87,19.87,22881086.8
2008-02-27,19.55,19.55,19.55,19.55,33666740.8
2008-02-28,19.55,19.55,19.55,19.55,11127513.1
2008-02-29,0,0,0,19.64,22549877.9
2008-03-03,19.67,19.67,19.67,19.67,10993258.1
2008-03-04,19.55,19.55,19.55,19.55,18802003
2008-03-05,19.09,19.09,19.09,19.09,41464514.3
2008-03-06,19.55,19.55,19.55,19.55,17127731.5
2008-03-07,19.54,19.54,19.54,19.54,24487142.9
2008-03-10,19.64,19.64,19.64,19.64,10335365.7
2008-03-11,19.1,19.1,19.1,19.1,17054162.4
2008-03-12,18.65,18.65,18.65,18.65,19878301.3
2008-03-13,19,19,19,19,30420998.3
2008-03-14,18.86,18.86,18.86,18.86,17063637.8
2008-03-17,18.38,18.38,18.38,18.38,0
2008-03-18,17.68,17.68,17.68,17.68,19316708.4
2008-03-20,18,18,18,18,30853153.1
2008-03-25,17.18,17.18,17.18,17.18,25926500.6
2008-03-26,17.27,17.27,17.27,17.27,0
2008-03-27,17,17,17,17,17778684
2008-03-28,17,17,17,17,0
2008-03-31,16.82,16.82,16.82,16.82,42551939.1
2008-04-01,16.82,16.82,16.82,16.82,48375564.6
2008-04-02,16.91,16.91,16.91,16.91,17942394.8
2008-04-03,17.75,17.75,17.75,17.75,18087174.6
2008-04-04,18.64,18.64,18.64,18.64,18087174.6
2008-04-07,19.09,19.09,19.09,19.09,0
2008-04-08,18.37,18.37,18.37,18.37,21171135.7
2008-04-09,18.64,18.64,18.64,18.64,0
2008-04-10,19.09,19.09,19.09,19.09,0
2008-04-11,18.64,18.64,18.64,18.64,15102829.5
2008-04-14,18.27,18.27,18.27,18.27,10661784.1
2008-04-15,0,0,0,18.14,12061052.3
2008-04-16,18.17,18.17,18.17,18.17,9178390.1
2008-04-17,17.75,17.75,17.75,17.75,13894564.2
2008-04-18,17.73,17.73,17.73,17.73,11694811.7
2008-04-21,0,0,0,17.41,5481161.4
2008-04-22,16.57,16.57,16.57,16.57,9476505.5
2008-04-23,16.49,16.49,16.49,16.49,9275797.3
2008-04-24,16.36,16.36,16.36,16.36,19318951.3
2008-04-25,16.18,16.18,16.18,16.18,23440033.1
2008-04-28,16.99,16.99,16.99,16.99,18382593.9
2008-04-29,17.27,17.27,17.27,17.27,27403209.9
2008-04-30,16.82,16.82,16.82,16.82,10587413.1
2008-05-02,16.35,16.35,16.35,16.35,6705990.5
2008-05-05,16.35,16.35,16.35,16.35,16852410.3
2008-05-06,16.35,16.35,16.35,16.35,9220951.3
2008-05-07,17.16,17.16,17.16,17.16,19188243.8
2008-05-08,0,0,0,16.82,0
2008-05-09,17.18,17.18,17.18,17.18,8765324.7
2008-05-12,17.25,17.25,17.25,17.25,15759345.8
2008-05-13,0,0,0,17,10240216.8
2008-05-14,17.27,17.27,17.27,17.27,14158386
2008-05-15,16.95,16.95,16.95,16.95,14181638.9
2008-05-16,16.87,16.87,16.87,16.87,6680734.5
2008-05-19,16.32,16.32,16.32,16.32,7501840.5
2008-05-20,16.8,16.8,16.8,16.8,7368340.1
2008-05-21,17.27,17.27,17.27,17.27,12224950.1
2008-05-22,17.09,17.09,17.09,17.09,19392018.8
2008-05-23,16.55,16.55,16.55,16.55,3786148.3
2008-05-26,17.23,17.23,17.23,17.23,3044531.6
2008-05-27,16.37,16.37,16.37,16.37,3605013.5
2008-05-28,16.27,16.27,16.27,16.27,8281835.1
2008-05-30,16.35,16.35,16.35,16.35,5688192.4
2008-06-02,15.91,15.91,15.91,15.91,3046679.9
2008-06-03,15.27,15.27,15.27,15.27,8672956.6
2008-06-04,15.35,15.35,15.35,15.35,0
2008-06-05,15.27,15.27,15.27,15.27,6037942.9
2008-06-06,14.51,14.51,14.51,14.51,6817683.4
2008-06-09,14.51,14.51,14.51,14.51,4195237.2
2008-06-10,14.53,14.53,14.53,14.53,7634518.1
2008-06-11,15.25,15.25,15.25,15.25,9726376
2008-06-12,15.92,15.92,15.92,15.92,22737034.1
2008-06-13,0,0,0,15.92,9091457.1
2008-06-16,15.13,15.13,15.13,15.13,4805906.6
2008-06-17,14.37,14.37,14.37,14.37,6297157.9
2008-06-18,14,14,14,14,9852906.8
2008-06-19,13.48,13.48,13.48,13.48,14239718.9
2008-06-20,12.81,12.81,12.81,12.81,10677849.6
2008-06-23,13.45,13.45,13.45,13.45,17642727.3
2008-06-24,13.64,13.64,13.64,13.64,9723681
2008-06-25,13.82,13.82,13.82,13.82,4605102.7
2008-06-26,13.91,13.91,13.91,13.91,16978210.7
2008-06-27,14.6,14.6,14.6,14.6,5049408.1
2008-06-30,15.33,15.33,15.33,15.33,14691892.6
2008-07-01,16.09,16.09,16.09,16.09,5902585.7
2008-07-02,16.89,16.89,16.89,16.89,9743683.4
2008-07-03,16.05,16.05,16.05,16.05,15315214.2
2008-07-04,15.25,15.25,15.25,15.25,6034332.7
2008-07-07,15.45,15.45,15.45,15.45,1758381.9
2008-07-08,14.68,14.68,14.68,14.68,4911599
2008-07-09,14.09,14.09,14.09,14.09,15535687.2
2008-07-10,14.4,14.4,14.4,14.4,4568304.4
2008-07-11,14.45,14.45,14.45,14.45,4224145.2
2008-07-14,14.38,14.38,14.38,14.38,3192420
2008-07-15,14.69,14.69,14.69,14.69,2703809.9
2008-07-16,14.32,14.32,14.32,14.32,19095440.1
2008-07-17,13.82,13.82,13.82,13.82,5105699.5
2008-07-18,13.18,13.18,13.18,13.18,3153168.7
2008-07-21,13.18,13.18,13.18,13.18,3747129.1
2008-07-22,13.11,13.11,13.11,13.11,6469028.5
2008-07-23,12.45,12.45,12.45,12.45,6173917.2
2008-07-24,11.86,11.86,11.86,11.86,12222320
2008-07-25,12.45,12.45,12.45,12.45,5902179.8
2008-07-28,13.07,13.07,13.07,13.07,7846528.8
2008-07-29,13.72,13.72,13.72,13.72,10039126.9
2008-07-30,14.4,14.4,14.4,14.4,4699477.2
2008-07-31,14.45,14.45,14.45,14.45,18850542.7
2008-08-01,14,14,14,14,3407218.1
2008-08-04,13.64,13.64,13.64,13.64,7369590.8
2008-08-05,12.95,12.95,12.95,12.95,4893303.8
2008-08-06,12.91,12.91,12.91,12.91,9550987.6
2008-08-07,13.18,13.18,13.18,13.18,3645241.6
2008-08-08,12.8,12.8,12.8,12.8,3622466.1
2008-08-11,0,0,0,13.36,4048804.1
2008-08-12,13.63,13.63,13.63,13.63,6741568.9
2008-08-13,13.07,13.07,13.07,13.07,4983286
