,Open,High,Low,Close,Volume
2008-01-14,16.85,16.85,16.85,16.85,5735441.92
2008-01-15,17.14,17.14,17.14,17.14,4105134.85
2008-01-16,16.68,16.68,16.68,16.68,12632163.96
2008-01-17,16.93,16.93,16.93,16.93,7779682.2
2008-01-18,16.33,16.33,16.33,16.33,0
2008-01-21,15.88,15.88,15.88,15.88,17815535.87
2008-01-22,16.1,16.1,16.1,16.1,35504078.06
2008-01-23,16.72,16.72,16.72,16.72,8361472.81
2008-01-24,16.3,16.3,16.3,16.3,18038536.05
2008-01-25,16.22,16.22,16.22,16.22,27646103.32
2008-01-28,15.89,15.89,15.89,15.89,15843681.1
2008-01-29,15.97,15.97,15.97,15.97,17696881.9
2008-01-30,15.97,15.97,15.97,15.97,10988875.51
2008-01-31,16.38,16.38,16.38,16.38,18856326.16
2008-02-01,16.3,16.3,16.3,16.3,8614323.95
2008-02-04,15.97,15.97,15.97,15.97,39797635.54
2008-02-05,15.97,15.97,15.97,15.97,21998489.66
2008-02-06,0,0,0,15.89,41913571.23
2008-02-07,16.3,16.3,16.3,16.3,26945883.59
2008-02-08,16.72,16.72,16.72,16.72,14371680.18
2008-02-11,16.55,16.55,16.55,16.55,25259909.9
2008-02-12,16.16,16.16,16.16,16.16,16852141.12
2008-02-13,16.26,16.26,16.26,16.26,16644508.35
2008-02-14,16.51,16.51,16.51,16.51,14264992.2
2008-02-15,0,0,0,16.91,40988944.83
2008-02-18,16.81,16.81,16.81,16.81,6907686.97
2008-02-19,16.72,16.72,16.72,16.72,23334908.43
2008-02-20,16.23,16.23,16.23,16.23,11633564.96
2008-02-21,16.47,16.47,16.47,16.47,13378325.64
2008-02-22,16.63,16.63,16.63,16.63,11424388.14
2008-02-25,0,0,0,16.62,53425047.31
2008-02-26,16.55,16.55,16.55,16.55,6381474.48
2008-02-27,16.62,16.62,16.62,16.62,20898552.38
2008-02-28,16.56,16.56,16.56,16.56,23813599.06
2008-02-29,0,0,0,16.47,6445703.26
2008-03-03,16.28,16.28,16.28,16.28,6818183.11
2008-03-04,16.71,16.71,16.71,16.71,5167747.36
2008-03-05,16.71,16.71,16.71,16.71,13138616.14
2008-03-06,16.61,16.61,16.61,16.61,5188292.25
2008-03-07,16.68,16.68,16.68,16.68,6666258.82
2008-03-10,16.72,16.72,16.72,16.72,7958780.8
2008-03-11,16.71,16.71,16.71,16.71,12613448.95
2008-03-12,16.64,16.64,16.64,16.64,7492947.18
2008-03-13,16.64,16.64,16.64,16.64,5089180.93
2008-03-14,16.11,16.11,16.11,16.11,6473615.51
2008-03-17,15.89,15.89,15.89,15.89,0
2008-03-18,15.72,15.72,15.72,15.72,23125126.44
2008-03-20,15.46,15.46,15.46,15.46,16320604.04
2008-03-25,15.8,15.8,15.8,15.8,2566216.54
2008-03-26,15.97,15.97,15.97,15.97,0
2008-03-27,15.48,15.48,15.48,15.48,11743342.21
2008-03-28,15.76,15.76,15.76,15.76,0
2008-03-31,15.47,15.47,15.47,15.47,8662541.89
2008-04-01,15.72,15.72,15.72,15.72,9475052.86
2008-04-02,15.13,15.13,15.13,15.13,27838196.46
2008-04-03,15.47,15.47,15.47,15.47,15543651.34
2008-04-04,15.7,15.7,15.7,15.7,15543651.34
2008-04-07,15.38,15.38,15.38,15.38,0
2008-04-08,15.67,15.67,15.67,15.67,15736710.86
2008-04-09,15.67,15.67,15.67,15.67,0
2008-04-10,15.97,15.97,15.97,15.97,0
2008-04-11,15.64,15.64,15.64,15.64,20935868.77
2008-04-14,15.8,15.8,15.8,15.8,4616888.9
2008-04-15,0,0,0,15.68,6410930.76
2008-04-16,15.51,15.51,15.51,15.51,7322492.06
2008-04-17,15.47,15.47,15.47,15.47,13868294.54
2008-04-18,15.47,15.47,15.47,15.47,8008248.56
2008-04-21,0,0,0,15.2,4098195.66
2008-04-22,15.46,15.46,15.46,15.46,8234434.88
2008-04-23,15.3,15.3,15.3,15.3,5164604.28
2008-04-24,15.05,15.05,15.05,15.05,8196959.42
2008-04-25,14.88,14.88,14.88,14.88,8198871.82
2008-04-28,14.38,14.38,14.38,14.38,11793710.55
2008-04-29,14.46,14.46,14.46,14.46,14344645.8
2008-04-30,14.49,14.49,14.49,14.49,8962937.62
2008-05-02,14.21,14.21,14.21,14.21,11658774.24
2008-05-05,14.05,14.05,14.05,14.05,2820246.94
2008-05-06,14.21,14.21,14.21,14.21,9161062.2
2008-05-07,14.21,14.21,14.21,14.21,8544715.56
2008-05-08,0,0,0,14.13,0
2008-05-09,14.83,14.83,14.83,14.83,5135980.41
2008-05-12,14.8,14.8,14.8,14.8,14489046.05
2008-05-13,0,0,0,14.63,13633721.87
2008-05-14,14.97,14.97,14.97,14.97,6982478.83
2008-05-15,14.67,14.67,14.67,14.67,7442197.31
2008-05-16,14.21,14.21,14.21,14.21,13399169.52
2008-05-19,14.72,14.72,14.72,14.72,12017246.54
2008-05-20,14.55,14.55,14.55,14.55,12884492.45
2008-05-21,14.66,14.66,14.66,14.66,11184133.27
2008-05-22,14.66,14.66,14.66,14.66,4945274.62
2008-05-23,14.3,14.3,14.3,14.3,3149474.64
2008-05-26,14.55,14.55,14.55,14.55,3188123.38
2008-05-27,14.01,14.01,14.01,14.01,7837605.67
2008-05-28,14.09,14.09,14.09,14.09,3136086.62
2008-05-30,14.09,14.09,14.09,14.09,2653105.94
2008-06-02,14.21,14.21,14.21,14.21,8316994.76
2008-06-03,14.13,14.13,14.13,14.13,1776248.97
2008-06-04,14.13,14.13,14.13,14.13,0
2008-06-05,14.13,14.13,14.13,14.13,20368672.95
2008-06-06,13.46,13.46,13.46,13.46,3705807.2
2008-06-09,13.55,13.55,13.55,13.55,6091968.32
2008-06-10,14.13,14.13,14.13,14.13,29946219.42
2008-06-11,14.13,14.13,14.13,14.13,5992380.99
2008-06-12,14.13,14.13,14.13,14.13,7168336.03
2008-06-13,0,0,0,14.13,1470270.31
2008-06-16,13.43,13.43,13.43,13.43,3395850.64
2008-06-17,13.21,13.21,13.21,13.21,15429100.86
2008-06-18,13.87,13.87,13.87,13.87,19554314.16
2008-06-19,13.25,13.25,13.25,13.25,13311369.97
2008-06-20,13.38,13.38,13.38,13.38,11519404.36
2008-06-23,13.96,13.96,13.96,13.96,14604379.92
2008-06-24,14.05,14.05,14.05,14.05,15196570.95
2008-06-25,13.8,13.8,13.8,13.8,9572595.03
2008-06-26,13.7,13.7,13.7,13.7,108649902.4
2008-06-27,13.05,13.05,13.05,13.05,14804052.12
2008-06-30,12.5,12.5,12.5,12.5,5232755.94
2008-07-01,12.84,12.84,12.84,12.84,13307656.39
2008-07-02,13.29,13.29,13.29,13.29,30630833.74
2008-07-03,12.96,12.96,12.96,12.96,7034047.96
2008-07-04,12.67,12.67,12.67,12.67,5166885.05
2008-07-07,12.95,12.95,12.95,12.95,4334899.61
2008-07-08,13.42,13.42,13.42,13.42,16569440.21
2008-07-09,13.47,13.47,13.47,13.47,9681143.99
2008-07-10,13.55,13.55,13.55,13.55,8359072.44
2008-07-11,14.21,14.21,14.21,14.21,11774023.2
2008-07-14,14.21,14.21,14.21,14.21,20813057.51
2008-07-15,14.2,14.2,14.2,14.2,4293660.33
2008-07-16,14.21,14.21,14.21,14.21,46720782
2008-07-17,13.5,13.5,13.5,13.5,12981720.08
2008-07-18,12.83,12.83,12.83,12.83,225022787
2008-07-21,12.96,12.96,12.96,12.96,22149118.68
2008-07-22,12.58,12.58,12.58,12.58,5523367.2
2008-07-23,12.54,12.54,12.54,12.54,251644571.4
2008-07-24,12.96,12.96,12.96,12.96,11165847.63
2008-07-25,13.03,13.03,13.03,13.03,4828774.65
2008-07-28,13.21,13.21,13.21,13.21,2588952.5
2008-07-29,13.37,13.37,13.37,13.37,10218235.3
2008-07-30,13.42,13.42,13.42,13.42,229691100.3
2008-07-31,13.8,13.8,13.8,13.8,70642388.23
2008-08-01,13.81,13.81,13.81,13.81,34251264.48
2008-08-04,13.28,13.28,13.28,13.28,2249491.82
2008-08-05,13.29,13.29,13.29,13.29,3018188.52
2008-08-06,12.98,12.98,12.98,12.98,229184786.9
2008-08-07,13.09,13.09,13.09,13.09,6020630.51
2008-08-08,12.71,12.71,12.71,12.71,4458683.22
2008-08-11,0,0,0,12.63,19469620.61
2008-08-12,12.54,12.54,12.54,12.54,13916537.6
2008-08-13,12.5,12.5,12.5,12.5,1713321.43
2008-08-14,11.89,11.89,11.89,11.89,12366386.45
2008-08-15,12.48,12.48,12.48,12.48,19945210.01
2008-08-18,11.86,11.86,11.86,11.86,1283248.2
2008-08-19,11.71,11.71,11.71,11.71,10909285.3
2008-08-20,11.12,11.12,11.12,11.12,1643532.44
2008-08-21,10.57,10.57,10.57,10.57,1756284.14
2008-08-22,10.04,10.04,10.04,10.04,5270856.92
2008-08-25,10.04,10.04,10.04,10.04,115174.8
2008-08-26,9.54,9.54,9.54,9.54,6138453.26
