,Open,High,Low,Close,Volume
2008-01-14,66.94,66.94,66.94,66.94,661217.81
2008-01-15,68.6,68.6,68.6,68.6,521350.28
2008-01-16,67.02,67.02,67.02,67.02,228947.73
2008-01-17,67.36,67.36,67.36,67.36,353643.07
2008-01-18,67.77,67.77,67.77,67.77,0
2008-01-21,66.94,66.94,66.94,66.94,747695.3
2008-01-22,68.6,68.6,68.6,68.6,534247.67
2008-01-23,68.35,68.35,68.35,68.35,695451.13
2008-01-24,68.28,68.28,68.28,68.28,694778.37
2008-01-25,68.6,68.6,68.6,68.6,570605.75
2008-01-28,70.25,70.25,70.25,70.25,1944767.66
2008-01-29,68.69,68.69,68.69,68.69,305382.22
2008-01-30,69.44,69.44,69.44,69.44,297033.22
2008-01-31,71.07,71.07,71.07,71.07,438714.54
2008-02-01,71.27,71.27,71.27,71.27,283509.05
2008-02-04,71.49,71.49,71.49,71.49,163418.97
2008-02-05,72.74,72.74,72.74,72.74,347956.07
2008-02-06,0,0,0,76.37,339423.15
2008-02-07,74.38,74.38,74.38,74.38,108703.98
2008-02-08,76.03,76.03,76.03,76.03,408437.92
2008-02-11,74.38,74.38,74.38,74.38,551980.22
2008-02-12,74.38,74.38,74.38,74.38,518972.63
2008-02-13,74.38,74.38,74.38,74.38,485216.05
2008-02-14,77.69,77.69,77.69,77.69,298699.39
2008-02-15,0,0,0,75.54,365849.55
2008-02-18,74.39,74.39,74.39,74.39,208946.43
2008-02-19,76.03,76.03,76.03,76.03,205097.42
2008-02-20,76.05,76.05,76.05,76.05,289094.41
2008-02-21,77.19,77.19,77.19,77.19,705997.49
2008-02-22,76.45,76.45,76.45,76.45,294897.57
2008-02-25,0,0,0,76.53,295432.39
2008-02-26,76.58,76.58,76.58,76.58,345476.78
2008-02-27,79.34,79.34,79.34,79.34,283561.08
2008-02-28,83.31,83.31,83.31,83.31,1109955.99
2008-02-29,0,0,0,87.44,883399.22
2008-03-03,85.95,85.95,85.95,85.95,258887.97
2008-03-04,88.02,88.02,88.02,88.02,547816.61
2008-03-05,87.2,87.2,87.2,87.2,179895.54
2008-03-06,85.97,85.97,85.97,85.97,415564.82
2008-03-07,87.51,87.51,87.51,87.51,897037.13
2008-03-10,87.51,87.51,87.51,87.51,276516.46
2008-03-11,83.14,83.14,83.14,83.14,764791.39
2008-03-12,81.82,81.82,81.82,81.82,359215.12
2008-03-13,80.17,80.17,80.17,80.17,270353.93
2008-03-14,79.75,79.75,79.75,79.75,125562.91
2008-03-17,75.87,75.87,75.87,75.87,0
2008-03-18,75.87,75.87,75.87,75.87,854468.12
2008-03-20,76.03,76.03,76.03,76.03,691881.63
2008-03-25,77.28,77.28,77.28,77.28,552875.62
2008-03-26,75.88,75.88,75.88,75.88,0
2008-03-27,76.12,76.12,76.12,76.12,295927.28
2008-03-28,77.69,77.69,77.69,77.69,0
2008-03-31,77.69,77.69,77.69,77.69,1611533.66
2008-04-01,75.21,75.21,75.21,75.21,582479.48
2008-04-02,75.29,75.29,75.29,75.29,810736.3
2008-04-03,75.45,75.45,75.45,75.45,776426.75
2008-04-04,76.03,76.03,76.03,76.03,776426.75
2008-04-07,76.03,76.03,76.03,76.03,0
2008-04-08,76.28,76.28,76.28,76.28,686803.26
2008-04-09,76.06,76.06,76.06,76.06,0
2008-04-10,76.69,76.69,76.69,76.69,0
2008-04-11,76.05,76.05,76.05,76.05,383133.19
2008-04-14,76.53,76.53,76.53,76.53,1252947.74
2008-04-15,0,0,0,76.03,3102790.9
2008-04-16,72.73,72.73,72.73,72.73,552310.55
2008-04-17,76.03,76.03,76.03,76.03,355161.62
2008-04-18,74.79,74.79,74.79,74.79,187097.46
2008-04-21,0,0,0,75.21,59708.66
2008-04-22,73.14,73.14,73.14,73.14,664368.65
2008-04-23,75.7,75.7,75.7,75.7,408573.44
2008-04-24,74.38,74.38,74.38,74.38,1059651.45
2008-04-25,72.73,72.73,72.73,72.73,622242.5
2008-04-28,71.09,71.09,71.09,71.09,634865.22
2008-04-29,73.83,73.83,73.83,73.83,739274.91
2008-04-30,72.66,72.66,72.66,72.66,163208.43
2008-05-02,72.78,72.78,72.78,72.78,431465.43
2008-05-05,71.9,71.9,71.9,71.9,314826.27
2008-05-06,73.55,73.55,73.55,73.55,476940.86
2008-05-07,73.45,73.45,73.45,73.45,491714.96
2008-05-08,0,0,0,73.45,0
2008-05-09,73.14,73.14,73.14,73.14,150110.18
2008-05-12,72.73,72.73,72.73,72.73,429281.38
2008-05-13,0,0,0,72.73,48223.34
2008-05-14,73.55,73.55,73.55,73.55,179463.57
2008-05-15,71.9,71.9,71.9,71.9,402038.23
2008-05-16,71.9,71.9,71.9,71.9,98832.8
2008-05-19,72.73,72.73,72.73,72.73,149399.91
2008-05-20,73.55,73.55,73.55,73.55,182549.07
2008-05-21,72.73,72.73,72.73,72.73,353762.86
2008-05-22,73.57,73.57,73.57,73.57,269615.83
2008-05-23,73.39,73.39,73.39,73.39,687574.03
2008-05-26,76.86,76.86,76.86,76.86,549796.17
2008-05-27,74.88,74.88,74.88,74.88,211947.23
2008-05-28,76.03,76.03,76.03,76.03,327332.83
2008-05-30,73.55,73.55,73.55,73.55,336739.37
2008-06-02,73.39,73.39,73.39,73.39,178846.47
2008-06-03,71.94,71.94,71.94,71.94,200376
2008-06-04,70.25,70.25,70.25,70.25,0
2008-06-05,72.31,72.31,72.31,72.31,456666.1
2008-06-06,70.33,70.33,70.33,70.33,547255.17
2008-06-09,70.33,70.33,70.33,70.33,61369.99
2008-06-10,70.58,70.58,70.58,70.58,217643.91
2008-06-11,74.11,74.11,74.11,74.11,508750.55
2008-06-12,74.3,74.3,74.3,74.3,296762.18
2008-06-13,0,0,0,74.3,386595
2008-06-16,74.26,74.26,74.26,74.26,121260.15
2008-06-17,72.31,72.31,72.31,72.31,184286.63
2008-06-18,71.9,71.9,71.9,71.9,397396.67
2008-06-19,68.76,68.76,68.76,68.76,241710.81
2008-06-20,67.81,67.81,67.81,67.81,469495.73
2008-06-23,66.12,66.12,66.12,66.12,768635.56
2008-06-24,66.11,66.11,66.11,66.11,1258597.23
2008-06-25,66.12,66.12,66.12,66.12,689520.92
2008-06-26,64.46,64.46,64.46,64.46,239434.8
2008-06-27,0,0,0,66.03,271049.68
2008-06-30,66.57,66.57,66.57,66.57,399028.96
2008-07-01,69.01,69.01,69.01,69.01,556199.49
2008-07-02,69.09,69.09,69.09,69.09,320706.87
2008-07-03,68.61,68.61,68.61,68.61,419522.73
2008-07-04,70.25,70.25,70.25,70.25,790379.26
2008-07-07,70.74,70.74,70.74,70.74,4947738.4
2008-07-08,70.33,70.33,70.33,70.33,377213.87
2008-07-09,70.33,70.33,70.33,70.33,181705.7
2008-07-10,70.25,70.25,70.25,70.25,328914.3
2008-07-11,70.17,70.17,70.17,70.17,386636.14
2008-07-14,68.6,68.6,68.6,68.6,121030.25
2008-07-15,68.22,68.22,68.22,68.22,124493.27
2008-07-16,66.16,66.16,66.16,66.16,457877.31
2008-07-17,65.29,65.29,65.29,65.29,122454.42
2008-07-18,62.02,62.02,62.02,62.02,155585.43
2008-07-21,60,60,60,60,431433.97
2008-07-22,57.11,57.11,57.11,57.11,845891.64
2008-07-23,54.26,54.26,54.26,54.26,908267.14
2008-07-24,51.55,51.55,51.55,51.55,594193.49
2008-07-25,49.55,49.55,49.55,49.55,376827.88
2008-07-28,47.11,47.11,47.11,47.11,672449.03
2008-07-29,48.76,48.76,48.76,48.76,1289330.02
2008-07-30,51.2,51.2,51.2,51.2,367923.49
2008-07-31,53.75,53.75,53.75,53.75,171340.84
2008-08-01,56.2,56.2,56.2,56.2,637513.91
2008-08-04,59.01,59.01,59.01,59.01,250592.21
2008-08-05,56.06,56.06,56.06,56.06,1065302.15
2008-08-06,53.26,53.26,53.26,53.26,159542.13
2008-08-07,52.11,52.11,52.11,52.11,943588.25
2008-08-08,54.71,54.71,54.71,54.71,800571.09
2008-08-11,0,0,0,53.88,138578
2008-08-12,56.57,56.57,56.57,56.57,1876023.6
2008-08-13,54.55,54.55,54.55,54.55,111543.3
2008-08-14,55.01,55.01,55.01,55.01,826579.6
2008-08-15,57.75,57.75,57.75,57.75,1021519.4
2008-08-18,60,60,60,60,343809.4
2008-08-19,57,57,57,57,471792.2
2008-08-20,54.15,54.15,54.15,54.15,175267.4
2008-08-21,56.85,56.85,56.85,56.85,1611364.7
2008-08-22,54.02,54.02,54.02,54.02,367030.4
2008-08-25,54.55,54.55,54.55,54.55,413648.4
2008-08-26,56.35,56.35,56.35,56.35,295461.1
2008-08-27,56.35,56.35,56.35,56.35,102503.5
2008-08-28,59.16,59.16,59.16,59.16,580528.3
2008-08-29,59.16,59.16,59.16,59.16,73316.1
2008-09-01,62.08,62.08,62.08,62.08,215286.5
2008-09-02,61.46,61.46,61.46,61.46,163105.8
2008-09-03,61.46,61.46,61.46,61.46,79296.8
2008-09-04,61.46,61.46,61.46,61.46,23579.6
2008-09-05,61.46,61.46,61.46,61.46,16284.4
2008-09-08,60.85,60.85,60.85,60.85,459912.2
2008-09-09,60.85,60.85,60.85,60.85,22851.4
2008-09-10,60.85,60.85,60.85,60.85,104435.1
2008-09-11,60.85,60.85,60.85,60.85,7155.5
2008-09-12,60.85,60.85,60.85,60.85,18352.4
2008-09-15,60.85,60.85,60.85,60.85,5908.1
2008-09-16,60.25,60.25,60.25,60.25,5590.2
2008-09-17,60.85,60.85,60.85,60.85,60451.6
2008-09-18,60.25,60.25,60.25,60.25,750365
2008-09-19,60.25,60.25,60.25,60.25,63103.7
2008-09-22,59.65,59.65,59.65,59.65,226578
2008-09-23,59.06,59.06,59.06,59.06,294503
2008-09-24,59.06,59.06,59.06,59.06,7135.7
2008-09-25,59.06,59.06,59.06,59.06,11188.1
2008-09-26,59.06,59.06,59.06,59.06,56426.7
2008-10-02,59.06,59.06,59.06,59.06,9449
2008-10-03,59.06,59.06,59.06,59.06,28009.3
2008-10-06,59.06,59.06,59.06,59.06,10678.8
2008-10-07,58.48,58.48,58.48,58.48,1176767.9
2008-10-08,58.48,58.48,58.48,58.48,40312.8
2008-10-09,58.48,58.48,58.48,58.48,57431
2008-10-10,58.48,58.48,58.48,58.48,8525
2008-10-13,58.48,58.48,58.48,58.48,3279.1
2008-10-14,57.9,57.9,57.9,57.9,8741.7
2008-10-15,57.9,57.9,57.9,57.9,12837
2008-10-16,57.9,57.9,57.9,57.9,16175.5
2008-10-17,0,0,0,57.33,110242
2008-10-20,57.33,57.33,57.33,57.33,94331.6
2008-10-21,57.33,57.33,57.33,57.33,5830
2008-10-22,57.33,57.33,57.33,57.33,16882.8
2008-10-23,57.33,57.33,57.33,57.33,2200
2008-10-24,57.33,57.33,57.33,57.33,2220.9
2008-10-27,57.33,57.33,57.33,57.33,20436.9
2008-10-28,57.33,57.33,57.33,57.33,5986.2
2008-10-29,57.33,57.33,57.33,57.33,14461.7
2008-10-31,54.46,54.46,54.46,54.46,643053.4
2008-11-03,54.46,54.46,54.46,54.46,12556.5
2008-11-04,51.75,51.75,51.75,51.75,76224.5
2008-11-05,49.16,49.16,49.16,49.16,188516.9
2008-11-07,46.82,46.82,46.82,46.82,190680.6
2008-11-10,46.82,46.82,46.82,46.82,78921.7
2008-11-11,44.48,44.48,44.48,44.48,57053.7
2008-11-12,42.28,42.28,42.28,42.28,99136.4
2008-11-13,44.39,44.39,44.39,44.39,185586.5
2008-11-14,46.36,46.36,46.36,46.36,71424.1
2008-11-17,47.27,47.27,47.27,47.27,442817.1
2008-11-18,47.27,47.27,47.27,47.27,681194.8
2008-11-19,44.92,44.92,44.92,44.92,122980
2008-11-20,42.68,42.68,42.68,42.68,250622.9
2008-11-21,42.68,42.68,42.68,42.68,33526.9
2008-11-24,42.68,42.68,42.68,42.68,2200
2008-11-25,40.55,40.55,40.55,40.55,100518
2008-11-26,40.91,40.91,40.91,40.91,1095890.4
2008-11-27,40.91,40.91,40.91,40.91,54859.2
2008-11-28,38.86,38.86,38.86,38.86,131787.7
2008-12-01,38.86,38.86,38.86,38.86,34245.2
2008-12-02,36.93,36.93,36.93,36.93,55222.2
2008-12-03,36.93,36.93,36.93,36.93,21211.3
2008-12-04,36.93,36.93,36.93,36.93,23714.9
2008-12-05,36.93,36.93,36.93,36.93,31458.9
2008-12-10,35.08,35.08,35.08,35.08,87122.2
2008-12-11,33.34,33.34,33.34,33.34,82414.2
2008-12-12,33.34,33.34,33.34,33.34,38847.6
2008-12-15,31.67,31.67,31.67,31.67,70466
2008-12-16,30.09,30.09,30.09,30.09,108801
2008-12-17,28.59,28.59,28.59,28.59,73544.9
2008-12-18,27.16,27.16,27.16,27.16,476293.4
2008-12-19,28.18,28.18,28.18,28.18,1089222.2
2008-12-22,28.18,28.18,28.18,28.18,206761.5
2008-12-23,27.26,27.26,27.26,27.26,308492.8
2008-12-24,27.27,27.27,27.27,27.27,196214.7
2008-12-29,28.18,28.18,28.18,28.18,119951.7
2008-12-30,28.36,28.36,28.36,28.36,464466.2
2008-12-31,29.08,29.08,29.08,29.08,93700.2
2009-01-02,28.64,28.64,28.64,28.64,289173.5
2009-01-05,30,30,30,30,332585
2009-01-06,28.5,28.5,28.5,28.5,925134.1
2009-01-07,27.08,27.08,27.08,27.08,211270.4
2009-01-08,25.74,25.74,25.74,25.74,182986.1
2009-01-09,24.55,24.55,24.55,24.55,371439.2
2009-01-12,24.18,24.18,24.18,24.18,344856.6
2009-01-13,24.23,24.23,24.23,24.23,284648.1
2009-01-14,23.68,23.68,23.68,23.68,143732.6
2009-01-15,22.5,22.5,22.5,22.5,70466
2009-01-16,22.27,22.27,22.27,22.27,289183.4
2009-01-19,21.73,21.73,21.73,21.73,326836.4
2009-01-20,20.65,20.65,20.65,20.65,467317.4
2009-01-21,20.65,20.65,20.65,19.62,88979
2009-01-22,18.65,18.65,18.65,18.65,89705
2009-01-23,17.72,17.72,17.72,17.72,89705
2009-01-26,16.84,16.84,16.84,16.84,768568.9
2009-01-27,16,16,16,16,141611.8
2009-01-28,15.2,15.2,15.2,15.2,129320.4
2009-01-29,14.45,14.45,14.45,14.45,406618.3
2009-01-30,13.73,13.73,13.73,13.73,472923
2009-02-02,13.05,13.05,13.05,13.05,753740.9
2009-02-03,12.4,12.4,12.4,12.4,2166271.8
2009-02-04,13.02,13.02,13.02,13.02,805213.2
2009-02-05,13.66,13.66,13.66,13.66,348449.2
2009-02-06,14.27,14.27,14.27,14.27,1481791.3
2009-02-09,14.98,14.98,14.98,14.98,1018710
2009-02-10,15.73,15.73,15.73,15.73,363591.8
2009-02-11,15.03,15.03,15.03,15.03,2587057
2009-02-12,14.28,14.28,14.28,14.28,535367.8
2009-02-13,13.57,13.57,13.57,13.57,3435119.6
2009-02-16,12.9,12.9,12.9,12.9,604157.4
2009-02-17,12.26,12.26,12.26,12.26,2703970.5
2009-02-18,11.74,11.74,11.74,11.74,7517979.7
2009-02-19,11.15,11.15,11.15,11.15,1375752.4
2009-02-20,10.6,10.6,10.6,10.6,994809.2
2009-02-23,10.07,10.07,10.07,10.07,3683441.3
2009-02-24,10,10,10,10,5021507.7
2009-02-25,10,10,10,10,7225396.2
2009-02-26,10.5,10.5,10.5,10.5,16915723
2009-02-27,11.02,11.02,11.02,11.02,8315773.4
2009-03-02,11.56,11.56,11.56,11.56,11494376.3
2009-03-03,12.05,12.05,12.05,12.05,17907871.3
2009-03-04,11.82,11.82,11.82,11.82,3524855.4
2009-03-05,12.38,12.38,12.38,12.38,1441227.7
2009-03-06,12.09,12.09,12.09,12.09,3181244
2009-03-10,11.82,11.82,11.82,11.82,2051608.9
2009-03-11,11.95,11.95,11.95,11.95,580588.8
2009-03-12,12.09,12.09,12.09,12.09,903807.3
2009-03-13,12.12,12.12,12.12,12.12,1061129.3
2009-03-16,12.55,12.55,12.55,12.55,300283.5
2009-03-17,12.55,12.55,12.55,12.55,384529.2
2009-03-18,12.29,12.29,12.29,12.29,843954.1
2009-03-19,12.27,12.27,12.27,12.27,3074850.9
2009-03-20,12.27,12.27,12.27,12.27,1332518
2009-03-23,12.88,12.88,12.88,12.88,68308.9
2009-03-24,13.52,13.52,13.52,13.52,64820.8
2009-03-25,12.95,12.95,12.95,12.95,390934.5
2009-03-26,12.49,12.49,12.49,12.49,856482
2009-03-27,12.27,12.27,12.27,12.27,521540.8
2009-03-30,12.85,12.85,12.85,12.85,531513.4
2009-03-31,12.91,12.91,12.91,12.91,192630.9
2009-04-01,12.73,12.73,12.73,12.73,331686.3
2009-04-07,12.75,12.75,12.75,12.75,491487.7
2009-04-08,13.34,13.34,13.34,13.34,123010.8
2009-04-09,0,13.64,12.73,13.61,248536.2
2009-04-14,0,13.99,13.63,13.63,370178.6
2009-04-15,0,13.77,12.95,13.32,8995830.8
2009-04-16,0,13.98,13.32,13.98,902188.1
2009-04-17,0,14.67,14.16,14.67,1069170.3
2009-04-20,0,15.35,13.95,14.55,461115.6
2009-04-21,0,14.55,14.27,14.32,317411.6
2009-04-22,14.16,14.16,14.16,14.16,552450.8
2009-04-23,14.17,14.17,14.17,14.17,5932202.1
2009-04-24,14.87,14.87,14.87,14.87,495911.9
2009-04-27,14.73,14.73,14.73,14.73,427860.4
2009-04-28,15.22,15.22,15.22,15.22,508126.3
2009-04-29,14.55,14.55,14.55,14.55,1366138.4
2009-04-30,15.23,15.23,15.23,15.23,409324.3
2009-05-04,15.73,15.73,15.73,15.73,751905
2009-05-05,16.51,16.51,16.51,16.51,462773.3
2009-05-06,17.33,17.33,17.33,17.33,234999.6
2009-05-07,18.19,18.19,18.19,18.19,277480.5
2009-05-08,19.1,19.1,19.1,19.1,226996
2009-05-11,20.05,20.05,20.05,20.05,174398.4
2009-05-12,21.05,21.05,21.05,21.05,146813.7
2009-05-13,22.1,22.1,22.1,22.1,696657.5
