,Open,High,Low,Close,Volume
2008-01-14,24,24,24,24,46404
2008-01-15,22.8,22.8,22.8,22.8,211521
2008-01-16,22.06,22.06,22.06,22.06,30841
2008-01-17,23.16,23.16,23.16,23.16,159897
2008-01-18,24.31,24.31,24.31,24.31,0
2008-01-21,25.5,25.5,25.5,25.5,1404615
2008-01-22,24.31,24.31,24.31,24.31,164623
2008-01-23,25.52,25.52,25.52,25.52,116041
2008-01-24,26.79,26.79,26.79,26.79,285956
2008-01-25,27,27,27,27,174930
2008-01-28,25.65,25.65,25.65,25.65,692003
2008-01-29,24.88,24.88,24.88,24.88,101300
2008-01-30,24.6,24.6,24.6,24.6,142028
2008-01-31,24.02,24.02,24.02,24.02,522685
2008-02-01,25.22,25.22,25.22,25.22,338152
2008-02-04,26,26,26,26,166047
2008-02-05,26,26,26,26,134887
2008-02-06,0,0,0,26.01,126623
2008-02-07,27,27,27,27,254535
2008-02-08,27.65,27.65,27.65,27.65,44200
2008-02-11,26.99,26.99,26.99,26.99,311651
2008-02-12,26.99,26.99,26.99,26.99,111739
2008-02-13,25.7,25.7,25.7,25.7,253434
2008-02-14,25.21,25.21,25.21,25.21,59053
2008-02-15,0,0,0,26,227960
2008-02-18,25.52,25.52,25.52,25.52,75791
2008-02-19,26.7,26.7,26.7,26.7,142744
2008-02-20,27,27,27,27,104272
2008-02-21,28.25,28.25,28.25,28.25,191576
2008-02-22,28.45,28.45,28.45,28.45,1042185
2008-02-25,0,0,0,27.5,523689
2008-02-26,28,28,28,28,248832
2008-02-27,28.9,28.9,28.9,28.9,212119
2008-02-28,28,28,28,28,113493
2008-02-29,0,0,0,27,24897
2008-03-03,28.6,28.6,28.6,28.6,62520
2008-03-04,29.49,29.49,29.49,29.49,111024
2008-03-05,28.4,28.4,28.4,28.4,400162
2008-03-06,28.35,28.35,28.35,28.35,137791
2008-03-07,29.76,29.76,29.76,29.76,484770
2008-03-10,31.24,31.24,31.24,31.24,1600951
2008-03-11,32.4,32.4,32.4,32.4,449292
2008-03-12,31.2,31.2,31.2,31.2,619375
2008-03-13,29.9,29.9,29.9,29.9,370585
2008-03-14,28.55,28.55,28.55,28.55,243551
2008-03-17,28.65,28.65,28.65,28.65,0
2008-03-18,28.06,28.06,28.06,28.06,158296
2008-03-20,26.66,26.66,26.66,26.66,723284
2008-03-25,25.33,25.33,25.33,25.33,659078
2008-03-26,25.99,25.99,25.99,25.99,0
2008-03-27,25.96,25.96,25.96,25.96,429951
2008-03-28,24.67,24.67,24.67,24.67,0
2008-03-31,23.44,23.44,23.44,23.44,60470
2008-04-01,22.6,22.6,22.6,22.6,356865
2008-04-02,21.47,21.47,21.47,21.47,1093806
2008-04-03,22.54,22.54,22.54,22.54,459162
2008-04-04,21.75,21.75,21.75,21.75,459162
2008-04-07,22.51,22.51,22.51,22.51,0
2008-04-08,23.63,23.63,23.63,23.63,322470
2008-04-09,24.73,24.73,24.73,24.73,0
2008-04-10,25,25,25,25,0
2008-04-11,24.45,24.45,24.45,24.45,348600
2008-04-14,23.85,23.85,23.85,23.85,114263
2008-04-15,0,0,0,22.66,1183700
2008-04-16,21.54,21.54,21.54,21.54,2005946
2008-04-17,21.5,21.5,21.5,21.5,72380
2008-04-18,20.61,20.61,20.61,20.61,90364
2008-04-21,0,0,0,21.45,97620
2008-04-22,22.01,22.01,22.01,22.01,112521
2008-04-23,23.11,23.11,23.11,23.11,270991
2008-04-24,22,22,22,22,177583
2008-04-25,22.2,22.2,22.2,22.2,101742
2008-04-28,21.1,21.1,21.1,21.1,716271
2008-04-29,21.15,21.15,21.15,21.15,249164
2008-04-30,22.2,22.2,22.2,22.2,172410
2008-05-02,21.8,21.8,21.8,21.8,106616
2008-05-05,21.35,21.35,21.35,21.35,464185
2008-05-06,22.41,22.41,22.41,22.41,285703
2008-05-07,23.5,23.5,23.5,23.5,274327
2008-05-08,0,0,0,23.5,0
2008-05-09,23.5,23.5,23.5,23.5,95190
2008-05-12,23.5,23.5,23.5,23.5,2200
2008-05-13,0,0,0,24,566608
2008-05-14,24,24,24,24,527092
2008-05-15,24.95,24.95,24.95,24.95,293657
2008-05-16,23.8,23.8,23.8,23.8,604251
2008-05-19,23.8,23.8,23.8,23.8,70539
2008-05-20,23.75,23.75,23.75,23.75,131922
2008-05-21,22.8,22.8,22.8,22.8,158449
2008-05-22,23.5,23.5,23.5,23.5,666817
2008-05-23,24.19,24.19,24.19,24.19,562368
2008-05-26,23.66,23.66,23.66,23.66,208910
2008-05-27,23.55,23.55,23.55,23.55,433768
