,Open,High,Low,Close,Volume
2008-01-14,16.05,16.05,16.05,16.05,42361796.84
2008-01-15,15.96,15.96,15.96,15.96,44892020.07
2008-01-16,15.9,15.9,15.9,15.9,28957625.16
2008-01-17,15.49,15.49,15.49,15.49,35252371.71
2008-01-18,15.8,15.8,15.8,15.8,0
2008-01-21,16.3,16.3,16.3,16.3,15397209.76
2008-01-22,16.1,16.1,16.1,16.1,28695630.19
2008-01-23,15.58,15.58,15.58,15.58,30752667.02
2008-01-24,15.56,15.56,15.56,15.56,30041747.52
2008-01-25,15.91,15.91,15.91,15.91,34724629.66
2008-01-28,15.54,15.54,15.54,15.54,30937419.03
2008-01-29,15.63,15.63,15.63,15.63,33313120.12
2008-01-30,15.96,15.96,15.96,15.96,46920339.82
2008-01-31,16.17,16.17,16.17,16.17,26583238.7
2008-02-01,15.82,15.82,15.82,15.82,32802061.16
2008-02-04,15.82,15.82,15.82,15.82,27998813.55
2008-02-05,16.37,16.37,16.37,16.37,53745295.73
2008-02-06,0,0,0,16.64,51716899.28
2008-02-07,16.94,16.94,16.94,16.94,51432018.84
2008-02-08,16.59,16.59,16.59,16.59,53067917.14
2008-02-11,16.88,16.88,16.88,16.88,41180667.48
2008-02-12,16.91,16.91,16.91,16.91,44793489.64
2008-02-13,17.6,17.6,17.6,17.6,44645299.83
2008-02-14,17.27,17.27,17.27,17.27,53703479.31
2008-02-15,0,0,0,17.07,39659629.02
2008-02-18,17.41,17.41,17.41,17.41,18190118.3
2008-02-19,17.35,17.35,17.35,17.35,16408067.1
2008-02-20,16.92,16.92,16.92,16.92,21726743.66
2008-02-21,17.13,17.13,17.13,17.13,46137209.98
2008-02-22,17.01,17.01,17.01,17.01,112402860.9
2008-02-25,0,0,0,16.92,54064228.44
2008-02-26,16.9,16.9,16.9,16.9,36105679.23
2008-02-27,16.89,16.89,16.89,16.89,45697479.27
2008-02-28,16.47,16.47,16.47,16.47,29225251.48
2008-02-29,0,0,0,17.16,24502310.73
2008-03-03,17.36,17.36,17.36,17.36,13099301.35
2008-03-04,18.22,18.22,18.22,18.22,33482936.17
2008-03-05,18.77,18.77,18.77,18.77,66620992.41
2008-03-06,18.3,18.3,18.3,18.3,55342669.49
2008-03-07,17.85,17.85,17.85,17.85,40089011.09
2008-03-10,18.06,18.06,18.06,18.06,21668054.52
2008-03-11,18.3,18.3,18.3,18.3,32242033.16
2008-03-12,18.02,18.02,18.02,18.02,26699061.6
2008-03-13,18.07,18.07,18.07,18.07,46972300.32
2008-03-14,17.17,17.17,17.17,17.17,31127683.07
2008-03-17,17.37,17.37,17.37,17.37,0
2008-03-18,17.37,17.37,17.37,17.37,36185528
2008-03-20,17.22,17.22,17.22,17.22,36977370.12
