,Open,High,Low,Close,Volume
2008-01-14,126.5,126.5,126.5,126.5,137682
2008-01-15,129.01,129.01,129.01,129.01,304556
2008-01-16,126.11,126.11,126.11,126.11,181277
2008-01-17,126.5,126.5,126.5,126.5,343022
2008-01-18,130,130,130,130,0
2008-01-21,128,128,128,128,361603
2008-01-22,129,129,129,129,530840
2008-01-23,128.5,128.5,128.5,128.5,466446
2008-01-24,127.01,127.01,127.01,127.01,324137
2008-01-25,128,128,128,128,484322
2008-01-28,129.6,129.6,129.6,129.6,242891
2008-01-29,128.65,128.65,128.65,128.65,291360
2008-01-30,129.5,129.5,129.5,129.5,300811
2008-01-31,128,128,128,128,1227708
2008-02-01,127.79,127.79,127.79,127.79,766163
2008-02-04,128.01,128.01,128.01,128.01,510763
2008-02-05,129,129,129,129,1166498
2008-02-06,0,0,0,132.3,833671
2008-02-07,128,128,128,128,501011
2008-02-08,133.1,133.1,133.1,133.1,377299
2008-02-11,133.01,133.01,133.01,133.01,605467
2008-02-12,133.5,133.5,133.5,133.5,775841
2008-02-13,133.03,133.03,133.03,133.03,3787728
2008-02-14,135.7,135.7,135.7,135.7,406648
2008-02-15,0,0,0,135,305814
2008-02-18,133.01,133.01,133.01,133.01,126094
2008-02-19,133.05,133.05,133.05,133.05,127377
2008-02-20,133.75,133.75,133.75,133.75,669957
2008-02-21,133.03,133.03,133.03,133.03,374825
2008-02-22,133.2,133.2,133.2,133.2,406010
2008-02-25,0,0,0,131.4,1018908
2008-02-26,131.38,131.38,131.38,131.38,175151
2008-02-27,129.72,129.72,129.72,129.72,452807
2008-02-28,126,126,126,126,7525688
2008-02-29,0,0,0,128,26287
2008-03-03,129,129,129,129,125649
2008-03-04,128,128,128,128,208765
2008-03-05,131,131,131,131,389464
2008-03-06,131,131,131,131,382092
2008-03-07,130.99,130.99,130.99,130.99,344746
2008-03-10,133,133,133,133,257457
2008-03-11,131.1,131.1,131.1,131.1,933281
2008-03-12,133,133,133,133,402700
2008-03-13,131,131,131,131,997000
2008-03-14,128,128,128,128,685062
2008-03-17,131,131,131,131,0
2008-03-18,134,134,134,134,1094091
2008-03-20,131.05,131.05,131.05,131.05,236118
2008-03-25,131,131,131,131,700590
2008-03-26,131,131,131,131,0
2008-03-27,130,130,130,130,1589971
2008-03-28,128,128,128,128,0
2008-03-31,130,130,130,130,119548
2008-04-01,129,129,129,129,755304
2008-04-02,130,130,130,130,158746
2008-04-03,131,131,131,131,226921
2008-04-04,131.05,131.05,131.05,131.05,226921
2008-04-07,129.15,129.15,129.15,129.15,0
2008-04-08,129.01,129.01,129.01,129.01,125669
2008-04-09,129.01,129.01,129.01,129.01,0
2008-04-10,129.15,129.15,129.15,129.15,0
2008-04-11,129.98,129.98,129.98,129.98,1691548
2008-04-14,130.5,130.5,130.5,130.5,267137
2008-04-15,0,0,0,129.65,139969
2008-04-16,130.5,130.5,130.5,130.5,115396
2008-04-17,133.5,133.5,133.5,133.5,260953
2008-04-18,129.55,129.55,129.55,129.55,737924
2008-04-21,0,0,0,130.01,234268
2008-04-22,130.01,130.01,130.01,130.01,599813
2008-04-23,129.6,129.6,129.6,129.6,900774
2008-04-24,129.51,129.51,129.51,129.51,314475
2008-04-25,130,130,130,130,1570938
2008-04-28,132.48,132.48,132.48,132.48,159394
2008-04-29,132.5,132.5,132.5,132.5,861494
2008-04-30,129.51,129.51,129.51,129.51,979664
2008-05-02,132.57,132.57,132.57,132.57,251057
2008-05-05,132.5,132.5,132.5,132.5,1833939
2008-05-06,133,133,133,133,1390316
2008-05-07,133,133,133,133,109467
2008-05-08,0,0,0,129.11,0
2008-05-09,127.01,127.01,127.01,127.01,735210
2008-05-12,132,132,132,132,453302
2008-05-13,0,0,0,132.03,1378514
2008-05-14,128.9,128.9,128.9,128.9,308480
2008-05-15,129,129,129,129,150585
2008-05-16,126.1,126.1,126.1,126.1,202966
2008-05-19,126.21,126.21,126.21,126.21,284311
2008-05-20,130,130,130,130,368858
2008-05-21,128.5,128.5,128.5,128.5,460721
2008-05-22,127.05,127.05,127.05,127.05,355215
2008-05-23,132,132,132,132,423795
2008-05-26,130,130,130,130,297213
2008-05-27,130,130,130,130,479892
2008-05-28,131.5,131.5,131.5,131.5,544866
2008-05-30,136.15,136.15,136.15,136.15,1663122
2008-06-02,135,135,135,135,1018321
2008-06-03,133.8,133.8,133.8,133.8,1722316
2008-06-04,135.35,135.35,135.35,135.35,0
