,Open,High,Low,Close,Volume
2008-01-14,4.88,4.88,4.88,4.88,1399464
2008-01-15,5.12,5.12,5.12,5.12,677348.4
2008-01-16,5.08,5.08,5.08,5.08,447963.6
2008-01-17,4.93,4.93,4.93,4.93,336637.2
2008-01-18,4.93,4.93,4.93,4.93,0
2008-01-21,4.96,4.96,4.96,4.96,441115.2
2008-01-22,4.96,4.96,4.96,4.96,528919.2
2008-01-23,5.08,5.08,5.08,5.08,536967.6
2008-01-24,5.29,5.29,5.29,5.29,539209.2
2008-01-25,5.55,5.55,5.55,5.55,472312.8
2008-01-28,5.83,5.83,5.83,5.83,225421.2
2008-01-29,6.11,6.11,6.11,6.11,177447.6
2008-01-30,6.41,6.41,6.41,6.41,468254.4
2008-01-31,6.49,6.49,6.49,6.49,753752.4
2008-02-01,6.67,6.67,6.67,6.67,741168
2008-02-04,6.42,6.42,6.42,6.42,492408
2008-02-05,6.67,6.67,6.67,6.67,583884
2008-02-06,0,0,0,6.68,764229.6
2008-02-07,6.88,6.88,6.88,6.88,798427.2
2008-02-08,7.08,7.08,7.08,7.08,411504
2008-02-11,7.09,7.09,7.09,7.09,664754.4
2008-02-12,7.08,7.08,7.08,7.08,573711.6
2008-02-13,7.27,7.27,7.27,7.27,1652114.4
2008-02-14,7.09,7.09,7.09,7.09,1059334.8
2008-02-15,0,0,0,7.09,2481435.6
2008-02-18,7.09,7.09,7.09,7.09,872688
2008-02-19,7.44,7.44,7.44,7.44,438946.8
2008-02-20,7.68,7.68,7.68,7.68,122422.8
2008-02-21,8.07,8.07,8.07,8.07,518694
2008-02-22,8.47,8.47,8.47,8.47,2897439.6
2008-02-25,0,0,0,8.88,2460897.6
2008-02-26,9.32,9.32,9.32,9.32,1493473.2
2008-02-27,9.78,9.78,9.78,9.78,526479.6
2008-02-28,10.27,10.27,10.27,10.27,348286.8
2008-02-29,0,0,0,10.78,93840
2008-03-03,11.31,11.31,11.31,11.31,1603614
2008-03-04,11.87,11.87,11.87,11.87,2356365.6
2008-03-05,12.46,12.46,12.46,12.46,1721313.6
2008-03-06,13.07,13.07,13.07,13.07,696454.8
2008-03-07,13.72,13.72,13.72,13.72,2185542
2008-03-10,14.41,14.41,14.41,14.41,2539968
2008-03-11,15,15,15,15,918201.6
2008-03-12,15.75,15.75,15.75,15.75,6927240
2008-03-13,14.97,14.97,14.97,14.97,563385.6
2008-03-14,14.23,14.23,14.23,14.23,775562.4
2008-03-17,13.52,13.52,13.52,13.52,0
2008-03-18,12.84,12.84,12.84,12.84,1252652.4
2008-03-20,12.2,12.2,12.2,12.2,1425303.6
2008-03-25,11.59,11.59,11.59,11.59,870390
2008-03-26,11.02,11.02,11.02,11.02,0
2008-03-27,10.47,10.47,10.47,10.47,1373238
2008-03-28,10.92,10.92,10.92,10.92,0
2008-03-31,11.46,11.46,11.46,11.46,817224
2008-04-01,12.03,12.03,12.03,12.03,649681.2
2008-04-02,12.62,12.62,12.62,12.62,496479.6
2008-04-03,13.23,13.23,13.23,13.23,1263522
2008-04-04,12.58,12.58,12.58,12.58,1263522
2008-04-07,12.08,12.08,12.08,12.08,0
2008-04-08,12.23,12.23,12.23,12.23,466608
2008-04-09,11.65,11.65,11.65,11.65,0
2008-04-10,11.12,11.12,11.12,11.12,0
2008-04-11,11.43,11.43,11.43,11.43,557196
2008-04-14,11.99,11.99,11.99,11.99,879956.4
2008-04-15,0,0,0,12.58,324327.6
2008-04-16,13.21,13.21,13.21,13.21,951405.6
2008-04-17,13.87,13.87,13.87,13.87,686824.8
2008-04-18,14.56,14.56,14.56,14.56,837988.8
2008-04-21,0,0,0,13.83,2933946
2008-04-22,13.33,13.33,13.33,13.33,992982
2008-04-23,13.01,13.01,13.01,13.01,1938556.8
2008-04-24,13.32,13.32,13.32,13.32,649141.2
2008-04-25,13.18,13.18,13.18,13.18,790694.4
2008-04-28,13.79,13.79,13.79,13.79,801706.8
2008-04-29,13.11,13.11,13.11,13.11,536455.2
2008-04-30,13.33,13.33,13.33,13.33,277527.6
2008-05-02,12.99,12.99,12.99,12.99,560484
2008-05-05,12.89,12.89,12.89,12.89,240258
2008-05-06,12.25,12.25,12.25,12.25,144041
2008-05-07,11.64,11.64,11.64,11.64,273880
2008-05-08,0,0,0,12.2,0
2008-05-09,12.81,12.81,12.81,12.81,521861
2008-05-12,13.37,13.37,13.37,13.37,1824124
2008-05-13,0,0,0,14.02,327881
2008-05-14,13.41,13.41,13.41,13.41,1077504
2008-05-15,13.41,13.41,13.41,13.41,134458
2008-05-16,13.41,13.41,13.41,13.41,40042
2008-05-19,12.74,12.74,12.74,12.74,106400
2008-05-20,12.11,12.11,12.11,12.11,142130
2008-05-21,12.11,12.11,12.11,12.11,34498
2008-05-22,12.11,12.11,12.11,12.11,77058
2008-05-23,12.11,12.11,12.11,12.11,47897
2008-05-26,12.11,12.11,12.11,12.11,20400
2008-05-27,12.11,12.11,12.11,12.11,24625
2008-05-28,12.11,12.11,12.11,12.11,4000
2008-05-30,12.11,12.11,12.11,12.11,22696
2008-06-02,12.11,12.11,12.11,12.11,10700
2008-06-03,12.11,12.11,12.11,12.11,9657
2008-06-04,11.51,11.51,11.51,11.51,0
2008-06-05,11.51,11.51,11.51,11.51,1000
2008-06-06,11.51,11.51,11.51,11.51,9415
2008-06-11,11.51,11.51,11.51,11.51,2550
2008-06-12,11.51,11.51,11.51,11.51,12229
2008-06-13,0,0,0,11.51,71271
2008-06-16,11.51,11.51,11.51,11.51,63250
2008-06-17,11.51,11.51,11.51,11.51,3625
2008-06-18,11.51,11.51,11.51,11.51,1000
2008-06-19,11.51,11.51,11.51,11.51,24544
2008-06-20,11.51,11.51,11.51,11.51,4025
2008-06-23,11.51,11.51,11.51,11.51,26000
2008-06-25,11.51,11.51,11.51,11.51,1795
2008-06-26,11.51,11.51,11.51,11.51,21000
2008-06-27,0,0,0,10.94,227839
2008-06-30,10.94,10.94,10.94,10.94,2000
2008-07-01,10.4,10.4,10.4,10.4,251000
2008-07-02,10.4,10.4,10.4,10.4,16650
2008-07-03,10.4,10.4,10.4,10.4,61096
2008-07-04,10.4,10.4,10.4,10.4,46120
2008-07-07,10.4,10.4,10.4,10.4,1800
2008-07-08,10.4,10.4,10.4,10.4,3000
2008-07-09,10.4,10.4,10.4,10.4,32000
2008-07-10,10.4,10.4,10.4,10.4,14776
2008-07-11,10.4,10.4,10.4,10.4,10300
2008-07-14,10.4,10.4,10.4,10.4,5897
2008-07-15,10.4,10.4,10.4,10.4,5800
2008-07-16,10.4,10.4,10.4,10.4,12254
2008-07-18,10.4,10.4,10.4,10.4,8068
2008-07-21,9.88,9.88,9.88,9.88,150000
2008-07-22,9.88,9.88,9.88,9.88,1000
2008-07-23,9.88,9.88,9.88,9.88,3989
2008-07-25,9.88,9.88,9.88,9.88,6097
2008-07-28,9.39,9.39,9.39,9.39,17822
2008-07-29,9.88,9.88,9.88,9.88,22720
2008-07-30,9.88,9.88,9.88,9.88,3000
2008-08-01,9.88,9.88,9.88,9.88,51994
2008-08-04,9.88,9.88,9.88,9.88,15155
2008-08-05,9.88,9.88,9.88,9.88,7950
2008-08-06,9.88,9.88,9.88,9.88,73373
2008-08-11,0,0,0,9.88,3000
2008-08-12,9.88,9.88,9.88,9.88,5000
2008-08-13,9.88,9.88,9.88,9.88,16900
2008-08-14,9.88,9.88,9.88,9.88,7000
2008-08-19,9.88,9.88,9.88,9.88,4554
2008-08-21,9.88,9.88,9.88,9.88,924
2008-08-22,9.88,9.88,9.88,9.88,444
2008-08-26,9.39,9.39,9.39,9.39,16068
2008-08-27,9.39,9.39,9.39,9.39,20950
2008-08-28,9.3,9.3,9.3,9.3,8600
2008-08-29,9.3,9.3,9.3,9.3,11504
2008-09-01,9.21,9.21,9.21,9.21,120000
2008-09-02,9.21,9.21,9.21,9.21,7000
2008-09-08,9.21,9.21,9.21,9.21,10000
2008-09-09,9.21,9.21,9.21,9.21,320
2008-09-10,9.21,9.21,9.21,9.21,1000
2008-09-11,9.21,9.21,9.21,9.21,10560
2008-09-15,9.21,9.21,9.21,9.21,155
2008-09-17,9.21,9.21,9.21,9.21,12451
2008-09-18,9.21,9.21,9.21,9.21,562
2008-09-22,9.12,9.12,9.12,9.12,110000
2008-09-23,9.12,9.12,9.12,9.12,1500
2008-09-24,9.12,9.12,9.12,9.12,800
2008-09-25,9.12,9.12,9.12,9.12,1375
2008-09-26,9.12,9.12,9.12,9.12,6506
2008-10-02,9.12,9.12,9.12,9.12,6500
2008-10-03,9.12,9.12,9.12,9.12,5050
2008-10-07,9.12,9.12,9.12,9.12,1111
2008-10-08,9.12,9.12,9.12,9.12,11140
2008-10-10,9.12,9.12,9.12,9.12,24225
2008-10-13,9.12,9.12,9.12,9.12,10000
2008-10-14,9.03,9.03,9.03,9.03,10500
2008-10-15,8.94,8.94,8.94,8.94,105000
2008-10-16,8.94,8.94,8.94,8.94,15000
2008-10-17,0,0,0,8.94,465
2008-10-21,8.94,8.94,8.94,8.94,944
2008-10-27,8.86,8.86,8.86,8.86,150436
2008-10-28,8.86,8.86,8.86,8.86,2000
2008-10-29,8.86,8.86,8.86,8.86,2000
2008-11-04,8.86,8.86,8.86,8.86,9204
2008-11-05,8.42,8.42,8.42,8.42,51286
2008-11-07,8.42,8.42,8.42,8.42,22000
2008-11-10,8.42,8.42,8.42,8.42,4000
2008-11-11,8.42,8.42,8.42,8.42,960
2008-11-12,8.42,8.42,8.42,8.42,1000
2008-11-13,8.42,8.42,8.42,8.42,8000
2008-11-14,8.42,8.42,8.42,8.42,1100
2008-11-17,8.42,8.42,8.42,8.42,1700
2008-11-19,8.42,8.42,8.42,8.42,8722
2008-11-20,8.42,8.42,8.42,8.42,16000
2008-11-21,8.42,8.42,8.42,8.42,2000
2008-11-25,8.42,8.42,8.42,8.42,1000
2008-11-26,8.42,8.42,8.42,8.42,500
2008-12-01,8,8,8,8,702739
2008-12-12,8,8,8,8,498
2008-12-15,8,8,8,8,17500
2008-12-16,8,8,8,8,14604
2008-12-17,8,8,8,8,584
2008-12-18,8,8,8,8,249
2008-12-19,7.6,7.6,7.6,7.6,30000
2008-12-23,7.9,7.9,7.9,7.9,11266
2008-12-30,7.51,7.51,7.51,7.51,2600
2008-12-31,7.9,7.9,7.9,7.9,577
2009-01-05,7.9,7.9,7.9,7.9,4900
2009-01-06,7.9,7.9,7.9,7.9,200
2009-01-15,7.9,7.9,7.9,7.9,17500
2009-01-19,7.9,7.9,7.9,7.9,1500
2009-01-22,7.51,7.51,7.51,7.51,17000
2009-01-23,7.51,7.51,7.51,7.51,17000
2009-01-27,7.51,7.51,7.51,7.51,6540
2009-01-29,7.14,7.14,7.14,7.14,28881
2009-01-30,7.51,7.51,7.51,7.51,500
2009-02-02,7.51,7.51,7.51,7.51,13292
2009-02-03,7.51,7.51,7.51,7.51,34000
2009-02-05,7.51,7.51,7.51,7.51,31975
2009-02-10,7.51,7.51,7.51,7.51,1500
2009-02-12,7.51,7.51,7.51,7.51,1740
2009-02-13,7.51,7.51,7.51,7.51,300
2009-02-16,7.51,7.51,7.51,7.51,1200
2009-02-17,7.51,7.51,7.51,7.51,373
2009-02-23,7.14,7.14,7.14,7.14,340379
2009-02-24,7.14,7.14,7.14,7.14,3045
2009-02-26,7.14,7.14,7.14,7.14,2878
2009-03-02,7.14,7.14,7.14,7.14,10000
2009-03-11,7.14,7.14,7.14,7.14,113
2009-03-18,7.14,7.14,7.14,7.14,20000
2009-03-20,7.14,7.14,7.14,7.14,18299
2009-03-23,7.14,7.14,7.14,7.14,30700
2009-03-25,7.14,7.14,7.14,7.14,2000
2009-03-26,7.14,7.14,7.14,7.14,4740
2009-03-30,7.14,7.14,7.14,7.14,10000
2009-03-31,6.79,6.79,6.79,6.79,286634
2009-04-07,6.79,6.79,6.79,6.79,6500
2009-04-08,6.79,6.79,6.79,6.79,21203
2009-04-09,0,6.46,6.46,6.79,9620
2009-04-14,0,6.46,6.46,6.79,11634
2009-04-15,0,6.46,6.46,6.79,11634
2009-04-17,0,6.46,6.46,6.79,6000
2009-04-21,0,6.46,6.46,6.46,80
2009-04-22,6.79,6.79,6.79,6.79,5280
2009-04-23,6.79,6.79,6.79,6.79,10663
2009-04-24,6.79,6.79,6.79,6.79,11000
2009-04-27,6.79,6.79,6.79,6.79,500
2009-04-29,6.46,6.46,6.46,6.46,1700
2009-04-30,6.46,6.46,6.46,6.46,91650
2009-05-04,6.14,6.14,6.14,6.14,95650
2009-05-05,6.14,6.14,6.14,6.14,8569
2009-05-06,6.14,6.14,6.14,6.14,7255
2009-05-07,6.14,6.14,6.14,6.14,6848
2009-05-08,6.14,6.14,6.14,6.14,48300
2009-05-12,6.14,6.14,6.14,6.14,20000
2009-05-13,6.14,6.14,6.14,6.14,1048
2009-05-15,6.14,6.14,6.14,6.14,31000
2009-05-18,6.07,6.07,6.07,6.07,76000
2009-05-19,6.07,6.07,6.07,6.07,6000
2009-05-20,5.77,5.77,5.77,5.77,88880
2009-05-21,5.77,5.77,5.77,5.77,41300
2009-05-22,5.49,5.49,5.49,5.49,905160
2009-05-26,5.49,5.49,5.49,5.49,2000
2009-05-27,5.22,5.22,5.22,5.22,52000
2009-05-28,4.96,4.96,4.96,4.96,65200
2009-06-01,4.72,4.72,4.72,4.72,0
2009-06-02,4.49,4.49,4.49,4.49,140709
2009-06-03,4.27,4.27,4.27,4.27,78728
2009-06-05,4.27,4.27,4.27,4.27,3933
2009-06-08,4.06,4.06,4.06,4.06,176920
2009-06-09,4.06,4.06,4.06,4.06,25865
2009-06-10,3.86,3.86,3.86,3.86,75446
2009-06-11,3.86,3.86,3.86,3.86,1000
2009-06-12,3.86,3.86,3.86,3.86,6105
2009-06-15,3.67,3.67,3.67,3.67,75424
2009-06-16,3.67,3.67,3.67,3.67,2500
2009-06-17,3.49,3.49,3.49,3.49,121147
2009-06-18,3.49,3.49,3.49,3.49,6917
2009-06-19,3.49,3.49,3.49,3.49,240
2009-06-22,3.49,3.49,3.49,3.49,5000
2009-06-23,3.49,3.49,3.49,3.49,900
2009-06-24,3.49,3.49,3.49,3.49,45400
2009-06-25,3.49,3.49,3.49,3.49,9204
2009-06-26,3.49,3.49,3.49,3.49,14474
2009-06-29,3.49,3.49,3.49,3.49,33765
2009-06-30,3.49,3.49,3.49,3.49,5100
2009-07-01,3.49,3.49,3.49,3.49,3500
2009-07-02,3.32,3.32,3.32,3.32,85147
2009-07-03,3.32,3.32,3.32,3.32,5000
2009-07-07,3.16,3.16,3.16,3.16,173444
2009-07-08,3.16,3.16,3.16,3.16,10743
2009-07-09,3.01,3.01,3.01,3.01,131292
2009-07-10,3.01,3.01,3.01,3.01,36944
2009-07-13,3.01,3.01,3.01,3.01,32000
2009-07-14,2.86,2.86,2.86,2.86,16787
2009-07-15,2.86,2.86,2.86,2.86,3459
2009-07-16,2.86,2.86,2.86,2.86,3124
2009-07-17,2.86,2.86,2.86,2.86,11377
2009-07-20,2.86,2.86,2.86,2.86,3800
2009-07-21,2.72,2.72,2.72,2.72,88748
