,Open,High,Low,Close,Volume
2008-01-14,8.94,8.94,8.94,8.94,526860.6
2008-01-15,8.93,8.93,8.93,8.93,1080534
2008-01-16,9.19,9.19,9.19,9.19,311326.4
2008-01-17,9.32,9.32,9.32,9.32,571681.6
2008-01-18,8.93,8.93,8.93,8.93,0
2008-01-21,8.96,8.96,8.96,8.96,268807
2008-01-22,9.24,9.24,9.24,9.24,762776
2008-01-23,9.39,9.39,9.39,9.39,1576562.4
2008-01-24,9.34,9.34,9.34,9.34,1143665.6
2008-01-25,9.29,9.29,9.29,9.29,877098.6
2008-01-28,9.71,9.71,9.71,9.71,1128892.8
2008-01-29,9.43,9.43,9.43,9.43,1314674.2
2008-01-30,9.43,9.43,9.43,9.43,700567
2008-01-31,9.66,9.66,9.66,9.66,590066.4
2008-02-01,10.14,10.14,10.14,10.14,1037719.2
2008-02-04,10,10,10,10,470545.6
2008-02-05,9.69,9.69,9.69,9.69,1372450.8
2008-02-06,0,0,0,10.14,1093741.6
2008-02-07,9.71,9.71,9.71,9.71,1094310
2008-02-08,10,10,10,10,733577.6
2008-02-11,10.01,10.01,10.01,10.01,757344
2008-02-12,10.07,10.07,10.07,10.07,1120179.2
2008-02-13,10.36,10.36,10.36,10.36,1645112
2008-02-14,9.91,9.91,9.91,9.91,3496115
2008-02-15,0,0,0,10.36,938777
2008-02-18,10.71,10.71,10.71,10.71,1107680
2008-02-19,11.25,11.25,11.25,11.25,1536255
2008-02-20,11.81,11.81,11.81,11.81,2027327.4
2008-02-21,12.39,12.39,12.39,12.39,2697420.6
2008-02-22,13.01,13.01,13.01,13.01,585988.2
2008-02-25,0,0,0,13.66,2157807.4
2008-02-26,13.57,13.57,13.57,13.57,2817453.8
2008-02-27,12.89,12.89,12.89,12.89,3521529.2
2008-02-28,12.25,12.25,12.25,12.25,2931014.8
2008-02-29,0,0,0,11.79,779944.2
2008-03-03,11.61,11.61,11.61,11.61,736341.2
2008-03-04,12.19,12.19,12.19,12.19,661410.4
2008-03-05,12.79,12.79,12.79,12.79,4432355.2
2008-03-06,13.43,13.43,13.43,13.43,1302326.2
2008-03-07,12.79,12.79,12.79,12.79,1697857
2008-03-10,12.29,12.29,12.29,12.29,2481627.4
2008-03-11,11.68,11.68,11.68,11.68,1375836
2008-03-12,11.86,11.86,11.86,11.86,1919537.2
2008-03-13,12.36,12.36,12.36,12.36,866280.8
2008-03-14,12.97,12.97,12.97,12.97,1445701.6
2008-03-17,12.36,12.36,12.36,12.36,0
2008-03-18,12.13,12.13,12.13,12.13,1818828.2
2008-03-20,12.11,12.11,12.11,12.11,930078.8
2008-03-25,12.71,12.71,12.71,12.71,964566.4
2008-03-26,12.08,12.08,12.08,12.08,0
2008-03-27,11.5,11.5,11.5,11.5,784347.2
2008-03-28,11.86,11.86,11.86,11.86,0
2008-03-31,11.43,11.43,11.43,11.43,616550.2
2008-04-01,11.79,11.79,11.79,11.79,874816.6
2008-04-02,12.37,12.37,12.37,12.37,834540
2008-04-03,12.14,12.14,12.14,12.14,1332494.8
2008-04-04,12.14,12.14,12.14,12.14,1332494.8
2008-04-07,11.54,11.54,11.54,11.54,0
2008-04-08,12.11,12.11,12.11,12.11,1889851.6
2008-04-09,12.5,12.5,12.5,12.5,0
2008-04-10,12.14,12.14,12.14,12.14,0
2008-04-11,11.82,11.82,11.82,11.82,719574.8
2008-04-14,11.79,11.79,11.79,11.79,1801303
2008-04-15,0,0,0,11.8,1278425.4
2008-04-16,11.75,11.75,11.75,11.75,667947
2008-04-17,11.17,11.17,11.17,11.17,1041077.8
2008-04-18,11,11,11,11,754885.6
2008-04-21,0,0,0,10.86,311085.6
2008-04-22,10.71,10.71,10.71,10.71,878162.6
2008-04-23,11.25,11.25,11.25,11.25,488719
2008-04-24,11.79,11.79,11.79,11.79,829073
2008-04-25,12.14,12.14,12.14,12.14,736283.8
2008-04-28,11.54,11.54,11.54,11.54,1150977.8
2008-04-29,10.97,10.97,10.97,10.97,408996
2008-04-30,10.89,10.89,10.89,10.89,592167.8
2008-05-02,10.35,10.35,10.35,10.35,152854.8
2008-05-05,9.84,9.84,9.84,9.84,400351
2008-05-06,10.29,10.29,10.29,10.29,467320
2008-05-07,10.8,10.8,10.8,10.8,612292.8
2008-05-08,0,0,0,11.34,0
2008-05-09,11.43,11.43,11.43,11.43,712007.8
2008-05-12,11.96,11.96,11.96,11.96,506086
2008-05-13,0,0,0,11.82,1569036
2008-05-14,11.24,11.24,11.24,11.24,353822
2008-05-15,10.86,10.86,10.86,10.86,560869.4
2008-05-16,10.86,10.86,10.86,10.86,111139
2008-05-19,10.86,10.86,10.86,10.86,126518
2008-05-20,10.31,10.31,10.31,10.31,293300
2008-05-21,9.8,9.8,9.8,9.8,246085
2008-05-22,9.31,9.31,9.31,9.31,760074
2008-05-23,8.85,8.85,8.85,8.85,1274830.2
2008-05-26,8.46,8.46,8.46,8.46,812169.4
2008-05-27,8.43,8.43,8.43,8.43,492209.2
2008-05-28,8.32,8.32,8.32,8.32,916612.2
2008-05-30,8.32,8.32,8.32,8.32,790921.6
2008-06-02,8.22,8.22,8.22,8.22,926248.4
2008-06-03,8.63,8.63,8.63,8.63,168434
2008-06-04,8.91,8.91,8.91,8.91,0
2008-06-05,8.46,8.46,8.46,8.46,617100.4
2008-06-06,8.21,8.21,8.21,8.21,377286
2008-06-09,8.53,8.53,8.53,8.53,478290.4
2008-06-10,8.95,8.95,8.95,8.95,313678.4
2008-06-11,9.29,9.29,9.29,9.29,513828
2008-06-12,9.29,9.29,9.29,9.29,174007.4
2008-06-13,0,0,0,9.75,466614.4
2008-06-16,9.75,9.75,9.75,9.75,128172.8
2008-06-17,9.75,9.75,9.75,9.75,65730
2008-06-18,9.75,9.75,9.75,9.75,124978
2008-06-19,9.75,9.75,9.75,9.75,70378
2008-06-20,9.75,9.75,9.75,9.75,47027.4
2008-06-23,9.75,9.75,9.75,9.75,35523.6
2008-06-24,9.26,9.26,9.26,9.26,644840
2008-06-25,9.26,9.26,9.26,9.26,100100
2008-06-26,8.81,8.81,8.81,8.81,337243.2
2008-06-27,0,0,0,8.37,399130.2
2008-06-30,7.96,7.96,7.96,7.96,1283629.2
2008-07-01,7.56,7.56,7.56,7.56,712237.4
2008-07-02,7.86,7.86,7.86,7.86,882015.4
2008-07-03,8.25,8.25,8.25,8.25,226014.6
2008-07-04,8.26,8.26,8.26,8.26,1648792.6
2008-07-07,8.29,8.29,8.29,8.29,669337.2
2008-07-08,8.29,8.29,8.29,8.29,404902.4
2008-07-09,7.87,7.87,7.87,7.87,541776.2
2008-07-10,7.48,7.48,7.48,7.48,364757.4
2008-07-11,7.13,7.13,7.13,7.13,444003
2008-07-14,7.14,7.14,7.14,7.14,296310
2008-07-15,7.49,7.49,7.49,7.49,188720
2008-07-16,7.14,7.14,7.14,7.14,755216
2008-07-17,6.79,6.79,6.79,6.79,933756.6
2008-07-18,6.79,6.79,6.79,6.79,306091.8
2008-07-21,6.79,6.79,6.79,6.79,187234.6
2008-07-22,7.13,7.13,7.13,7.13,436686.6
2008-07-23,7.48,7.48,7.48,7.48,2077705
2008-07-24,7.85,7.85,7.85,7.85,1093706.6
2008-07-25,7.46,7.46,7.46,7.46,352856
2008-07-28,7.09,7.09,7.09,7.09,213780
2008-07-29,7.14,7.14,7.14,7.14,335608
2008-07-30,7.46,7.46,7.46,7.46,206759
2008-07-31,7.42,7.42,7.42,7.42,266820.4
2008-08-01,7.42,7.42,7.42,7.42,105240.8
2008-08-04,7.08,7.08,7.08,7.08,797066.2
2008-08-05,7.11,7.11,7.11,7.11,241346
2008-08-06,6.76,6.76,6.76,6.76,241735.2
2008-08-07,6.5,6.5,6.5,6.5,454319.6
2008-08-08,6.43,6.43,6.43,6.43,2962008
2008-08-11,0,0,0,6.39,359063.6
2008-08-12,6.39,6.39,6.39,6.39,545409.2
2008-08-13,6.46,6.46,6.46,6.46,287834.4
2008-08-14,6.47,6.47,6.47,6.47,266791
2008-08-15,6.79,6.79,6.79,6.79,581833
2008-08-18,6.46,6.46,6.46,6.46,155465.8
2008-08-19,6.74,6.74,6.74,6.74,3710400.4
2008-08-20,6.41,6.41,6.41,6.41,539483
2008-08-21,6.39,6.39,6.39,6.39,448133
2008-08-22,6.08,6.08,6.08,6.08,2084182.8
2008-08-25,6.08,6.08,6.08,6.08,117530
2008-08-26,5.78,5.78,5.78,5.78,260778
2008-08-27,5.93,5.93,5.93,5.93,166922
2008-08-28,6.22,6.22,6.22,6.22,175942.2
2008-08-29,6.22,6.22,6.22,6.22,27244
2008-09-01,6.53,6.53,6.53,6.53,305314.8
2008-09-02,6.64,6.64,6.64,6.64,281713.6
2008-09-03,6.97,6.97,6.97,6.97,221907
2008-09-04,6.69,6.69,6.69,6.69,239309
2008-09-05,6.62,6.62,6.62,6.62,186074
2008-09-08,6.62,6.62,6.62,6.62,43218
2008-09-09,6.62,6.62,6.62,6.62,82063.8
2008-09-10,6.62,6.62,6.62,6.62,42736.4
2008-09-11,6.62,6.62,6.62,6.62,55104
2008-09-12,6.62,6.62,6.62,6.62,40896.8
2008-09-15,6.62,6.62,6.62,6.62,17784.2
2008-09-16,6.56,6.56,6.56,6.56,171810.8
2008-09-17,6.56,6.56,6.56,6.56,129241
2008-09-18,6.56,6.56,6.56,6.56,65216.2
2008-09-19,6.56,6.56,6.56,6.56,131675.6
