,Open,High,Low,Close,Volume
2008-01-14,159.13,159.13,159.13,159.13,208700
2008-01-15,164,164,164,164,138145
2008-01-16,156,156,156,156,23092.5
2008-01-17,148.8,148.8,148.8,148.8,44918.75
2008-01-18,144,144,144,144,0
2008-01-21,144,144,144,144,30826.25
2008-01-22,150.4,150.4,150.4,150.4,44738.75
2008-01-23,152,152,152,152,20798.75
2008-01-24,146.14,146.14,146.14,146.14,38720
2008-01-25,152,152,152,152,33730
2008-01-28,148,148,148,148,335573.75
2008-01-29,152.8,152.8,152.8,152.8,37095
2008-01-30,160.44,160.44,160.44,160.44,52641.25
2008-01-31,168.44,168.44,168.44,168.44,24198.75
2008-02-01,176,176,176,176,20033.75
2008-02-04,175.2,175.2,175.2,175.2,19446.25
2008-02-05,168.72,168.72,168.72,168.72,26573.75
2008-02-06,0,0,0,160.29,177363.75
2008-02-07,152.28,152.28,152.28,152.28,11288.75
2008-02-08,152.8,152.8,152.8,152.8,13188.75
2008-02-11,148.4,148.4,148.4,148.4,58322.5
2008-02-12,155.82,155.82,155.82,155.82,26413.75
2008-02-13,149.6,149.6,149.6,149.6,61937.5
2008-02-14,152,152,152,152,98652.5
2008-02-15,159.2,159.2,159.2,159.2,20265
2008-02-18,160,160,160,160,17877.5
2008-02-19,168,168,168,168,33100
2008-02-20,176,176,176,176,43035
2008-02-21,176.04,176.04,176.04,176.04,353433.75
2008-02-22,184.84,184.84,184.84,184.84,123203.75
2008-02-25,0,0,0,194,45692.5
2008-02-26,203.7,203.7,203.7,203.7,468823.75
2008-02-27,194.4,194.4,194.4,194.4,241312.5
2008-02-28,204.12,204.12,204.12,204.12,25140
2008-02-29,0,0,0,213.76,37623.75
2008-03-03,217.6,217.6,217.6,217.6,70575
2008-03-04,216,216,216,216,229733.75
2008-03-05,205.2,205.2,205.2,205.2,307042.5
2008-03-06,194.94,194.94,194.94,194.94,119066.25
2008-03-07,189.68,189.68,189.68,189.68,293892.5
2008-03-10,188,188,188,188,85432.5
2008-03-11,178.6,178.6,178.6,178.6,61601.25
2008-03-12,176.8,176.8,176.8,176.8,166115
2008-03-13,176.8,176.8,176.8,176.8,14121.25
2008-03-14,168,168,168,168,99478.75
2008-03-17,176.4,176.4,176.4,176.4,0
2008-03-18,167.58,167.58,167.58,167.58,143660
2008-03-20,160.4,160.4,160.4,160.4,84506.25
2008-03-25,166.4,166.4,166.4,166.4,97242.5
2008-03-26,158.08,158.08,158.08,158.08,0
2008-03-27,158.04,158.04,158.04,158.04,28177.5
2008-03-28,156.8,156.8,156.8,156.8,0
2008-03-31,148.96,148.96,148.96,148.96,1656572.5
2008-04-01,149.6,149.6,149.6,149.6,57537.5
2008-04-02,149.6,149.6,149.6,149.6,191160
2008-04-03,152.8,152.8,152.8,152.8,16307.5
2008-04-04,160,160,160,160,16307.5
2008-04-07,167.2,167.2,167.2,167.2,0
2008-04-08,172.8,172.8,172.8,172.8,60813.75
2008-04-09,172.8,172.8,172.8,172.8,0
2008-04-10,181.44,181.44,181.44,181.44,0
2008-04-11,190.51,190.51,190.51,190.51,22128.75
2008-04-14,200.03,200.03,200.03,200.03,45058.75
2008-04-15,0,0,0,210.03,201932.5
2008-04-16,220.53,220.53,220.53,220.53,31162.5
2008-04-17,223.2,223.2,223.2,223.2,492218.75
2008-04-18,226.4,226.4,226.4,226.4,589160
2008-04-21,0,0,0,224.01,247226.25
2008-04-22,216.02,216.02,216.02,216.02,184183.75
2008-04-23,217.68,217.68,217.68,217.68,210048.75
2008-04-24,228.56,228.56,228.56,228.56,217822.5
2008-04-25,239.98,239.98,239.98,239.98,1370416.25
2008-04-28,251.98,251.98,251.98,251.98,1533622.5
2008-04-29,198.57,198.57,198.57,198.57,69511.25
2008-04-30,248.21,248.21,248.21,248.21,49355
2008-05-02,248.21,248.21,248.21,248.21,12322
2008-05-05,235.91,235.91,235.91,235.91,109870
2008-05-06,225,225,225,225,102061
2008-05-07,225,225,225,225,7873
2008-05-08,0,0,0,225,0
2008-05-09,228.01,228.01,228.01,228.01,22147
2008-05-12,228.01,228.01,228.01,228.01,5929
2008-05-13,0,0,0,228.01,109171
2008-05-14,221,221,221,221,102880
2008-05-15,210,210,210,210,184986
2008-05-16,210,210,210,210,45809
2008-05-19,210,210,210,210,5109
2008-05-20,210,210,210,210,51286
2008-05-21,210,210,210,210,37305
2008-05-22,210,210,210,210,9313
2008-05-23,210,210,210,210,24408
2008-05-26,199.5,199.5,199.5,199.5,106481
2008-05-27,199.5,199.5,199.5,199.5,26447
2008-05-28,199.5,199.5,199.5,199.5,33862
2008-05-30,199.5,199.5,199.5,199.5,81843
2008-06-02,199.5,199.5,199.5,199.5,30010
2008-06-03,199.5,199.5,199.5,199.5,42978
2008-06-04,205,205,205,205,0
2008-06-05,205,205,205,205,18526
2008-06-06,187.5,187.5,187.5,187.5,138855
2008-06-09,187.5,187.5,187.5,187.5,40799
2008-06-10,187.5,187.5,187.5,187.5,39368
2008-06-11,187.5,187.5,187.5,187.5,25224
2008-06-12,195.85,195.85,195.85,195.85,22834
2008-06-13,0,0,0,187.5,15188
2008-06-16,187.5,187.5,187.5,187.5,39319
2008-06-17,196.87,196.87,196.87,196.87,115143
2008-06-18,196.87,196.87,196.87,196.87,23277
2008-06-19,196.87,196.87,196.87,196.87,81314
2008-06-20,196.87,196.87,196.87,196.87,11676
2008-06-23,196.87,196.87,196.87,196.87,88083
2008-06-24,196.87,196.87,196.87,196.87,11615
